FORM_TYPE,LINK,FILENAME,DOWNLOADED,UPLOADED
8-K,/Archives/edgar/data/29002/000095017021002113/0000950170-21-002113.txt,0000950170-21-002113.txt,FALSE,FALSE
4,/Archives/edgar/data/29002/000120919121055201/0001209191-21-055201.txt,0001209191-21-055201.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121054073/0001209191-21-054073.txt,0001209191-21-054073.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121054072/0001209191-21-054072.txt,0001209191-21-054072.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121053724/0001209191-21-053724.txt,0001209191-21-053724.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121053723/0001209191-21-053723.txt,0001209191-21-053723.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121053317/0001209191-21-053317.txt,0001209191-21-053317.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121053316/0001209191-21-053316.txt,0001209191-21-053316.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121053314/0001209191-21-053314.txt,0001209191-21-053314.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121053312/0001209191-21-053312.txt,0001209191-21-053312.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121053310/0001209191-21-053310.txt,0001209191-21-053310.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121052219/0001209191-21-052219.txt,0001209191-21-052219.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121051418/0001209191-21-051418.txt,0001209191-21-051418.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121051051/0001209191-21-051051.txt,0001209191-21-051051.txt,TRUE,TRUE
8-K,/Archives/edgar/data/29002/000156459021042725/0001564590-21-042725.txt,0001564590-21-042725.txt,FALSE,FALSE
4,/Archives/edgar/data/29002/000120919121049998/0001209191-21-049998.txt,0001209191-21-049998.txt,TRUE,TRUE
10-Q,/Archives/edgar/data/29002/000156459021041719/0001564590-21-041719.txt,0001564590-21-041719.txt,FALSE,FALSE
8-K,/Archives/edgar/data/29002/000156459021041709/0001564590-21-041709.txt,0001564590-21-041709.txt,FALSE,FALSE
4,/Archives/edgar/data/29002/000120919121049105/0001209191-21-049105.txt,0001209191-21-049105.txt,TRUE,TRUE
UPLOAD,/Archives/edgar/data/29002/000000000021009438/0000000000-21-009438.txt,0000000000-21-009438.txt,FALSE,FALSE
CORRESP,/Archives/edgar/data/29002/000156459021039538/0001564590-21-039538.txt,0001564590-21-039538.txt,FALSE,FALSE
UPLOAD,/Archives/edgar/data/29002/000000000021009179/0000000000-21-009179.txt,0000000000-21-009179.txt,FALSE,FALSE
CORRESP,/Archives/edgar/data/29002/000156459021037477/0001564590-21-037477.txt,0001564590-21-037477.txt,FALSE,FALSE
8-K,/Archives/edgar/data/29002/000156459021036756/0001564590-21-036756.txt,0001564590-21-036756.txt,FALSE,FALSE
4,/Archives/edgar/data/29002/000120919121045981/0001209191-21-045981.txt,0001209191-21-045981.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121044846/0001209191-21-044846.txt,0001209191-21-044846.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121044845/0001209191-21-044845.txt,0001209191-21-044845.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121044844/0001209191-21-044844.txt,0001209191-21-044844.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121044841/0001209191-21-044841.txt,0001209191-21-044841.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121044737/0001209191-21-044737.txt,0001209191-21-044737.txt,TRUE,TRUE
UPLOAD,/Archives/edgar/data/29002/000000000021008078/0000000000-21-008078.txt,0000000000-21-008078.txt,FALSE,FALSE
4,/Archives/edgar/data/29002/000120919121043927/0001209191-21-043927.txt,0001209191-21-043927.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121040712/0001209191-21-040712.txt,0001209191-21-040712.txt,TRUE,TRUE
SD,/Archives/edgar/data/29002/000156459021030950/0001564590-21-030950.txt,0001564590-21-030950.txt,FALSE,FALSE
4,/Archives/edgar/data/29002/000120919121035995/0001209191-21-035995.txt,0001209191-21-035995.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121035994/0001209191-21-035994.txt,0001209191-21-035994.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121035993/0001209191-21-035993.txt,0001209191-21-035993.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121035991/0001209191-21-035991.txt,0001209191-21-035991.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121035990/0001209191-21-035990.txt,0001209191-21-035990.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121035989/0001209191-21-035989.txt,0001209191-21-035989.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121035988/0001209191-21-035988.txt,0001209191-21-035988.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121035987/0001209191-21-035987.txt,0001209191-21-035987.txt,TRUE,TRUE
8-K,/Archives/edgar/data/29002/000156459021029807/0001564590-21-029807.txt,0001564590-21-029807.txt,FALSE,FALSE
4,/Archives/edgar/data/29002/000120919121035043/0001209191-21-035043.txt,0001209191-21-035043.txt,TRUE,TRUE
4,/Archives/edgar/data/29002/000120919121033698/0001209191-21-033698.txt,0001209191-21-033698.txt,TRUE,TRUE
8-K,/Archives/edgar/data/29002/000156459021027062/0001564590-21-027062.txt,0001564590-21-027062.txt,FALSE,FALSE
8-K,/Archives/edgar/data/29002/000156459021025260/0001564590-21-025260.txt,0001564590-21-025260.txt,FALSE,FALSE
10-Q,/Archives/edgar/data/29002/000156459021025107/0001564590-21-025107.txt,0001564590-21-025107.txt,FALSE,FALSE
8-K,/Archives/edgar/data/29002/000156459021025098/0001564590-21-025098.txt,0001564590-21-025098.txt,FALSE,FALSE
