Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Fixed Assets,"1,601,789,000","1,634,297,000","1,513,245,000","1,586,688,000","1,683,380,000","1,793,347,000","1,912,669,000","2,003,935,000","2,051,036,000","1,999,174,000","2,315,634,000","2,103,735,000"
Investments,"2,035,406,000","1,200,820,000","655,325,000","709,976,000","436,262,000","362,278,000","445,172,000","309,385,000","51,094,000","19,114,000","48,129,000","46,432,000"
Cash in Hand and Bank,"535,692,000","124,131,000","112,007,000","23,583,000","58,365,000","41,740,000","17,394,000","178,979,000","6,973,000","18,179,000","12,504,000","48,417,000"
Stores and Spares,"179,871,000","146,699,000","143,148,000","159,183,000","151,437,000","139,241,000","140,750,000","144,200,000","130,512,000","153,152,000","201,760,000","209,401,000"
Stock in Trade,"1,069,294,000","1,346,695,000","1,905,094,000","1,962,675,000","707,135,000","848,785,000","1,435,926,000","990,359,000","1,471,452,000","2,430,743,000","813,761,000","1,036,195,000"
Trade Debts,"286,795,000","81,158,000","243,771,000","28,312,000","40,769,000","189,018,000","41,997,000","19,965,000","305,336,000","487,536,000","208,254,000","37,997,000"
Current Assets,"4,608,593,000","4,595,232,000","3,426,588,000","2,863,187,000","1,416,134,000","1,586,381,000","2,259,113,000","1,975,386,000","2,640,165,000","3,291,037,000","1,356,024,000","1,621,666,000"
Quick Assets,"3,359,428,000","3,101,838,000","1,378,346,000","741,329,000","557,562,000","598,355,000","682,437,000","840,827,000","1,038,201,000","707,142,000","340,503,000","376,070,000"
Total Assets,"6,489,242,000","6,412,617,000","5,606,577,000","5,171,144,000","3,312,931,000","3,526,403,000","4,397,221,000","4,210,282,000","4,752,689,000","5,329,055,000","3,732,575,000","3,768,712,000"
Interest Bearing Long Term Liability,"82,158,000",0,0,0,0,0,0,"36,363,000","214,094,000","433,791,000","874,974,000","1,078,295,000"
Non Interest Bearing Long Term Liability,0,0,"22,381,000",0,0,0,0,0,0,0,"301,346,000","395,070,000"
Interest Bearing Short Term Liability,"1,237,991,000","1,623,237,000","702,090,000","1,788,526,000","15,637,000","456,601,000","1,179,591,000","1,554,508,000","1,727,712,000","1,768,674,000","688,035,000","653,603,000"
* Non Interest Bearing Short Term Liability,"1,626,705,000","1,427,859,000","1,172,523,000","758,326,000","875,224,000","760,401,000","915,684,000","587,902,000","1,018,709,000","1,672,834,000","595,044,000","656,959,000"
Trades Payables,"1,623,041,000","1,421,211,000","1,168,506,000","736,100,000","874,194,000","758,280,000","898,731,000","559,532,000","977,229,000","1,588,808,000","595,044,000","656,959,000"
Total Current Liabilities,"2,916,423,000","3,093,325,000","1,902,859,000","2,559,698,000","903,707,000","1,229,848,000","2,108,121,000","2,155,256,000","2,759,267,000","3,466,109,000","1,356,169,000","1,387,371,000"
Total Liabilities,"3,094,592,000","3,185,366,000","2,012,603,000","2,662,786,000","977,823,000","1,298,355,000","2,170,983,000","2,248,265,000","3,024,975,000","3,947,491,000","2,606,949,000","2,898,922,000"
Paid Up Capital,"173,623,000","173,623,000","173,623,000","173,623,000","173,623,000","173,623,000","173,623,000","173,623,000","173,623,000","173,623,000","173,623,000","173,623,000"
Reserves,"3,221,027,000","3,053,628,000","3,420,351,000","2,334,735,000","2,161,485,000","2,054,425,000","2,052,615,000","1,788,394,000","1,554,091,000","1,207,941,000","952,003,000","696,167,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"3,394,650,000","3,227,251,000","3,593,974,000","2,508,358,000","2,335,108,000","2,228,048,000","2,226,238,000","1,962,017,000","1,727,714,000","1,381,564,000","1,125,626,000","869,790,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"17,362,300","17,362,300","17,362,300","17,362,300","17,362,300","17,362,300","17,362,300","17,362,300","17,362,300","17,362,300","17,362,300","17,362,300"
