Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Operating Cash Flow,"2,610,396,000","1,282,544,000","1,328,177,000","-1,565,881,000","899,014,000","1,050,575,000","366,724,000","831,528,000","549,202,000","-531,453,000","627,689,000","-304,716,000"
Captial Expenditure,"77,581,000","223,805,000","32,331,000","19,223,000","12,844,000","14,250,000","45,228,000","98,818,000","166,756,000","47,497,000","356,087,000","341,549,000"
Cashflow from Investing,"-689,884,000","-990,189,000","-16,437,000","-86,857,000","139,000","116,377,000","-30,855,000","-239,842,000","-143,488,000","135,508,000","-374,946,000","-372,360,000"
Cash Flow from Financing,"-1,508,951,000","-280,231,000","-1,223,316,000","1,617,956,000","-882,528,000","-1,142,606,000","-497,454,000","-419,680,000","-416,920,000","384,511,000","-288,656,000","686,351,000"
Net Change,"411,561,000","12,124,000","88,424,000","-34,782,000","16,625,000","24,346,000","-161,585,000","172,006,000","-11,206,000","-11,434,000","-35,913,000","9,275,000"
Opening Cash,"124,131,000","112,007,000","23,583,000","58,365,000","41,740,000","17,394,000","178,979,000","6,973,000","18,179,000","29,613,000","48,417,000","39,142,000"
Closing Cash,"535,692,000","124,131,000","112,007,000","23,583,000","58,365,000","41,740,000","17,394,000","178,979,000","6,973,000","18,179,000","12,504,000","48,417,000"
FCFF,"2,532,815,000","1,058,739,000","1,295,846,000","-1,585,104,000","886,170,000","1,036,325,000","321,496,000","732,710,000","382,446,000","-578,950,000","271,602,000","-646,265,000"
FCFE,"1,023,864,000","778,508,000","72,530,000","32,852,000","3,642,000","-106,281,000","-175,958,000","313,030,000","-34,474,000","-194,439,000","-17,054,000","40,086,000"
