Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Sales,"8,153,544,000","7,164,862,000","7,494,077,000","5,327,415,000","5,793,851,000","5,867,298,000","5,520,740,000","5,823,931,000","5,964,181,000","6,220,458,000","4,166,922,000","2,757,639,000"
COGS,"6,048,271,000","5,399,707,000","5,420,785,000","4,816,150,000","5,030,190,000","5,042,494,000","4,739,773,000","5,021,685,000","4,804,885,000","5,280,399,000","3,381,353,000","2,152,783,000"
Gross Profit,"2,105,273,000","1,765,155,000","2,073,292,000","511,265,000","763,661,000","824,804,000","780,967,000","802,246,000","1,159,296,000","940,059,000","785,569,000","604,856,000"
Administrative Expenses,"131,664,000","124,622,000","106,043,000","112,693,000","114,269,000","108,974,000","116,974,000","116,258,000","119,466,000","123,564,000","98,564,000","79,116,000"
Selling & Distributive Expenses,"297,795,000","372,083,000","503,581,000","134,783,000","115,959,000","114,250,000","144,676,000","121,323,000","208,691,000","93,289,000","86,486,000","129,488,000"
Financial Charges,"52,979,000","63,942,000","64,081,000","112,389,000","85,390,000","125,083,000","247,173,000","224,256,000","266,289,000","356,946,000","271,735,000","180,697,000"
Other Income,"150,428,000","112,369,000","72,032,000","66,237,000","103,412,000","156,302,000","187,237,000","64,091,000","32,229,000","36,806,000","35,308,000","40,330,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"403,022,000","115,650,000","100,940,000","10,689,000","26,885,000","79,200,000","71,262,000","73,502,000","57,742,000","78,603,000","26,972,000","159,458,000"
EBITDA,"1,536,646,000","1,370,373,000","1,542,366,000","435,992,000","735,133,000","812,615,000","773,190,000","701,154,000","922,527,000","703,529,200","758,177,000","397,641,000"
EBIT,"1,423,220,000","1,265,169,000","1,434,760,000","319,337,000","609,960,000","678,682,000","635,292,000","555,254,000","805,626,000","681,409,000","608,855,000","277,124,000"
EBT,"1,370,241,000","1,201,227,000","1,370,679,000","206,948,000","524,570,000","553,599,000","388,119,000","330,998,000","539,337,000","324,463,000","337,120,000","96,427,000"
Tax,"125,894,000","89,249,000","76,899,000","63,972,000","66,687,000","58,664,000","89,966,000","43,453,000","48,791,000","71,657,000","54,688,000","21,382,000"
PAT,"1,244,347,000","1,111,978,000","1,293,780,000","142,976,000","457,883,000","494,935,000","298,153,000","287,545,000","490,546,000","226,863,000","282,432,000","75,045,000"
EPS,71.67,64.05,74.52,8.23,26.37,28.51,17.17,16.56,28.25,13.07,16.27,4.32
