Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2006
Markup Interest Earned,"110,546,934,000","122,637,434,000","73,274,161,000","65,708,757,000","64,606,019,000","72,116,230,000","67,001,497,000","54,221,577,000","49,502,633,000","51,814,273,000","44,992,696,000","41,121,503,000","30,570,540,000","17,215,507,000"
Markup Expense,"62,126,061,000","81,129,964,000","41,158,720,000","34,130,494,000","31,345,347,000","35,976,740,000","38,815,342,000","32,551,922,000","31,141,686,000","26,643,234,000","22,427,652,000","22,421,694,000","17,272,724,000","6,793,101,000"
Net Income Before Provision,"30,358,950,000","24,788,297,000","20,098,850,000","31,578,263,000","33,260,672,000","36,139,490,000","28,186,155,000","21,669,655,000","18,360,947,000","25,171,039,000","22,565,044,000","18,699,809,000","13,297,816,000","10,422,406,000"
Net Income After Provision,"29,515,400,000","24,241,639,000","20,844,316,000","33,536,397,000","33,521,125,000","34,615,122,000","26,576,848,000","21,104,712,000","17,710,387,000","22,162,015,000","18,481,659,000","14,202,205,000","10,141,815,000","9,717,535,000"
Non Markup Income,"12,542,230,000","10,891,180,000","11,461,551,000","8,871,801,000","11,210,491,000","9,755,138,000","12,735,754,000","9,603,179,000","13,793,595,000","6,949,813,000","5,671,786,000","5,958,034,000","4,896,915,000","2,449,068,000"
Revenue,"123,089,164,000","133,528,614,000","84,735,712,000","74,580,558,000","75,816,510,000","81,871,368,000","79,737,251,000","63,824,756,000","63,296,228,000","58,764,086,000","50,664,482,000","47,079,537,000","35,467,455,000","19,664,575,000"
Non Markup Expense,"30,604,153,000","27,610,353,000","23,306,031,000","21,529,503,000","20,900,398,000","18,866,880,000","17,110,845,000","15,946,994,000","15,633,630,000","14,003,346,000","11,810,339,000","9,624,119,000","8,917,790,000","5,505,509,000"
EBT,"29,515,400,000","24,241,639,000","20,844,316,000","20,878,695,000","23,831,218,000","25,503,380,000","22,201,757,000","14,760,897,000","15,870,352,000","15,108,482,000","12,343,106,000","10,536,120,000","6,120,940,000","6,661,094,000"
Tax,"11,485,943,000","10,128,728,000","8,135,909,000","8,145,059,000","9,404,168,000","10,383,073,000","7,186,665,000","117,537,000","4,194,538,000","4,968,801,000","4,117,774,000","3,413,953,000","1,964,254,000","2,263,844,000"
PAT,"18,029,457,000","14,112,911,000","12,880,518,000","12,733,636,000","14,427,050,000","15,120,307,000","15,015,092,000","14,643,360,000","11,675,814,000","10,139,681,000","8,225,332,000","7,122,167,000","4,156,686,000","4,397,250,000"
EPS,15.75,12.32,11.25,11.12,12.6,13.2,13.11,14.07,12.34,10.71,10.52,10.02,5.85,9.8
