Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,0
Fixed Assets,"8,267,557,000","7,191,606,000","5,419,054,000","4,443,019,000","4,017,403,000","3,359,092,000","3,183,735,000","2,629,154,000","2,298,062,000","1,877,596,000","1,662,785,000","1,560,835,000","4,443,019,000"
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"2,757,519,000","5,678,136,000","8,571,721,000","7,944,429,000","8,320,913,000","6,381,381,000","3,897,051,000","2,790,212,000","1,453,327,000","819,087,000","770,784,000","1,051,489,000","7,944,429,000"
Stores and Spares,"276,322,000","178,815,000","129,521,000","103,766,000","140,069,000","120,158,000","107,238,000","121,844,000","76,887,000","72,430,000","69,097,000","47,747,000","103,766,000"
Stock in Trade,"6,049,215,000","4,428,893,000","3,475,745,000","3,575,927,000","2,908,690,000","2,823,007,000","2,762,690,000","2,426,561,000","2,316,562,000","2,069,633,000","1,675,000,000","1,696,200,000","3,575,927,000"
Trade Debts,"903,829,000","1,143,015,000","914,972,000","880,297,000","476,403,000","482,771,000","546,093,000","566,734,000","411,813,000","263,267,000","234,185,000","172,825,000","880,297,000"
Current Assets,"12,337,862,000","12,998,131,000","13,743,937,000","13,122,151,000","12,380,092,000","10,319,128,000","7,898,590,000","6,587,364,000","4,975,763,000","3,856,673,000","3,259,185,000","3,455,129,000","13,122,151,000"
Quick Assets,"6,012,325,000","8,390,423,000","10,138,671,000","9,442,458,000","9,331,333,000","7,375,963,000","5,028,662,000","4,038,959,000","2,582,314,000","1,714,610,000","1,515,088,000","1,711,182,000","9,442,458,000"
Total Assets,"20,752,680,000","20,281,257,000","19,236,259,000","17,645,184,000","16,488,275,000","13,765,595,000","11,168,004,000","9,329,862,000","7,405,329,000","5,790,421,000","4,964,576,000","5,049,710,000","17,645,184,000"
Interest Bearing Long Term Liability,"297,727,000","173,719,000",0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"83,412,000","40,533,000",0,0,0,0,0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"6,710,714,000","6,510,381,000","4,649,277,000","2,843,217,000","3,319,884,000","2,670,042,000","2,217,177,000","2,432,911,000","2,053,927,000","1,762,700,000","1,606,489,000","1,380,592,000","2,843,217,000"
Trades Payables,"6,710,714,000","6,510,381,000","4,649,277,000","2,843,217,000","3,319,884,000","2,670,042,000","2,217,177,000","2,432,911,000","2,053,927,000","1,762,700,000","1,606,489,000","1,380,592,000","2,843,217,000"
Total Current Liabilities,"6,842,951,000","6,617,122,000","4,649,277,000","2,848,467,000","3,319,884,000","2,670,042,000","2,217,177,000","2,432,911,000","2,053,927,000","1,762,700,000","1,606,489,000","1,380,592,000","2,848,467,000"
Total Liabilities,"7,380,287,000","7,046,246,000","4,880,424,000","3,051,944,000","3,539,028,000","2,893,995,000","2,420,739,000","2,622,468,000","2,219,146,000","1,877,882,000","1,726,116,000","1,481,198,000","3,051,944,000"
Paid Up Capital,"979,003,000","979,003,000","979,003,000","979,003,000","979,003,000","979,003,000","979,003,000","979,003,000","979,003,000","979,003,000","979,003,000","979,003,000","979,003,000"
Reserves,"12,393,390,000","12,256,008,000","13,376,832,000","13,614,237,000","11,970,244,000","9,892,597,000","7,768,262,000","5,728,391,000","4,207,180,000","2,933,536,000","2,259,457,000","2,589,509,000","13,614,237,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"13,372,393,000","13,235,011,000","14,355,835,000","14,593,240,000","12,949,247,000","10,871,600,000","8,747,265,000","6,707,394,000","5,186,183,000","3,912,539,000","3,238,460,000","3,568,512,000","14,593,240,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"97,900,300","97,900,300","97,900,300","97,900,302","97,900,302","97,900,302","97,900,302","97,900,302","97,900,302","97,900,302","97,900,302","97,900,302","97,900,302"
