Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,0
Sales,"30,155,875,000","29,719,279,000","26,088,233,000","23,387,915,000","21,170,446,000","19,692,354,000","17,217,258,000","15,216,253,000","12,946,968,000","10,995,701,000","8,450,118,000","7,123,412,000","23,387,915,000"
COGS,"21,628,135,000","19,944,014,000","15,999,247,000","14,020,416,000","12,943,213,000","12,142,212,000","10,595,612,000","9,513,425,000","8,280,490,000","7,308,663,000","5,987,872,000","4,991,510,000","14,020,416,000"
Gross Profit,"8,527,740,000","9,775,265,000","10,088,986,000","9,367,499,000","8,227,233,000","7,550,142,000","6,621,646,000","5,702,828,000","4,666,478,000","3,687,038,000","2,462,246,000","2,131,902,000","9,367,499,000"
Administrative Expenses,"731,620,000","562,771,000","468,172,000","450,297,000","383,612,000","368,688,000","366,938,000","344,494,000","295,823,000","267,915,000","165,455,000","255,737,000","450,297,000"
Selling & Distributive Expenses,"5,061,510,000","4,525,458,000","3,611,882,000","3,258,175,000","2,876,407,000","2,965,120,000","2,471,404,000","2,212,421,000","1,894,390,000","1,601,101,000","1,137,813,000","1,369,133,000","3,258,175,000"
Financial Charges,"53,090,000","15,606,000","10,060,000","6,759,000","5,884,000","4,774,000","2,956,000","2,226,000","3,216,000","3,530,000","2,525,000","2,704,000","6,759,000"
Other Income,"352,023,000","458,654,000","445,317,000","420,937,000","476,868,000","475,693,000","273,059,000","183,430,000","142,466,000","109,079,000","141,890,000","105,545,000","420,937,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"522,802,000","786,315,000","602,244,000","486,064,000","431,721,000","368,686,000","367,184,000","312,980,000","240,689,000","182,314,000","132,246,000","65,051,000","486,064,000"
EBITDA,"3,562,991,000","5,096,544,000","6,459,090,000","6,128,490,000","5,496,717,000","4,758,663,000","4,087,276,000","3,353,127,000","2,657,942,000","2,000,889,000","1,374,922,000","750,528,000","6,128,490,000"
EBIT,"2,563,831,000","4,359,375,000","5,852,005,000","5,593,900,000","5,012,361,000","4,323,341,000","3,689,179,000","3,016,363,000","2,378,042,000","1,744,787,000","1,168,622,000","547,526,000","5,593,900,000"
EBT,"2,510,741,000","4,343,769,000","5,841,945,000","5,587,141,000","5,006,477,000","4,318,567,000","3,686,223,000","3,014,137,000","2,374,826,000","1,741,257,000","1,166,097,000","544,822,000","5,587,141,000"
Tax,"1,210,856,000","1,649,436,000","1,636,713,000","-1,565,349,000","1,419,741,000","1,502,255,000","1,157,374,000","924,042,000","730,240,000","564,313,000","340,421,000","200,842,000","1,565,349,000"
PAT,"1,299,885,000","2,694,333,000","4,205,232,000","4,021,792,000","3,586,736,000","2,816,312,000","2,528,849,000","2,090,095,000","1,644,586,000","1,176,944,000","825,676,000","343,980,000","4,021,792,000"
EPS,13.28,27.52,42.95,41.08,36.64,28.77,25.83,21.35,16.8,12.02,8.43,3.51,41.08
