Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"18,500,574,000","20,780,934,000","16,884,411,000","14,735,172,000","13,918,340,000","13,086,120,000","12,547,251,000","11,507,706,000","10,638,021,000","8,553,921,000","7,668,133,000","8,510,071,000","5,001,350,000"
COGS,"14,251,503,000","15,978,032,000","11,697,583,000","8,842,960,000","8,331,840,000","8,689,940,000","8,843,288,000","7,972,732,000","7,691,421,000","6,823,346,000","5,710,166,000","5,801,099,000","3,887,147,000"
Gross Profit,"4,249,071,000","4,802,902,000","5,186,828,000","5,892,212,000","5,586,500,000","4,396,180,000","3,703,963,000","3,534,974,000","2,946,600,000","1,730,575,000","1,957,967,000","2,708,972,000","1,114,203,000"
Administrative Expenses,"506,937,000","505,149,000","533,111,000","419,378,000","401,792,000","346,946,000","307,163,000","263,216,000","221,577,000","186,365,000","183,933,000","182,420,000","133,582,000"
Selling & Distributive Expenses,"1,830,945,000","1,414,820,000","1,170,970,000","903,531,000","954,746,000","986,673,000","806,050,000","577,636,000","705,125,000","512,936,000","466,659,000","437,194,000","124,744,000"
Financial Charges,"525,894,000","648,444,000","251,172,000","28,369,000","21,309,000","25,999,000","29,794,000","14,894,000","11,593,000","24,287,000","77,628,000","119,763,000","153,909,000"
Other Income,"239,470,000","318,468,000","60,804,000","236,632,000","341,095,000","422,910,000","269,529,000","227,029,000","145,899,000","104,221,000","261,539,000","166,533,000","27,840,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"92,274,000","149,756,000","163,000,000","333,645,000","314,042,000","238,821,000","195,420,000","230,172,000","119,173,000","76,722,000","102,969,000","147,402,000","54,841,000"
EBITDA,"2,879,136,000","3,846,557,000","3,917,359,000","4,909,461,000","4,685,217,000","3,664,274,000","3,062,508,000","3,046,475,000","2,355,023,000","1,330,384,000","1,736,739,000","2,582,928,000","1,230,065,000"
EBIT,"2,058,385,000","3,051,645,000","3,380,551,000","4,472,290,000","4,257,015,000","3,246,650,000","2,664,859,000","2,690,979,000","2,046,624,000","1,058,773,000","1,465,945,000","2,108,489,000","828,876,000"
EBT,"1,532,491,000","2,403,201,000","3,129,379,000","4,443,921,000","4,235,706,000","3,220,651,000","2,635,065,000","2,676,085,000","2,035,031,000","1,034,486,000","1,388,317,000","1,988,726,000","674,967,000"
Tax,"425,000,000","330,000,000","-1,270,405,000","1,409,864,000","1,345,683,000","1,015,000,000","621,000,000","540,000,000","598,382,000","350,057,000","371,632,000","495,775,000","239,942,000"
PAT,"1,107,491,000","2,073,201,000","4,399,784,000","3,034,057,000","2,890,023,000","2,205,651,000","2,014,065,000","2,136,085,000","1,436,649,000","684,429,000","1,016,685,000","1,492,951,000","435,025,000"
EPS,8.06,15.09,38.42,26.49,25.24,19.26,17.59,21.45,16.59,7.9,11.74,20.69,6.03
