Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,43.43,26.52,20.82,50.96,49.55,77.86,73.92,60.61,51.23,63.26,42.58,24.17,24.88
Plow Back,56.57,73.48,79.18,49.04,50.45,22.14,26.08,39.39,48.77,36.74,57.42,75.83,75.12
Return on Equity,6.69,12.88,29.58,25.39,27.66,24.68,23.85,26.88,21.67,11.80,18.84,31.25,12.32
Return on Assets,4.04,7.59,16.66,14.65,20.03,18.03,16.89,19.95,16.14,8.84,14.40,21.41,7.41
Book Value per Share,120.45,117.15,129.87,104.33,91.22,78.02,73.75,79.80,76.55,66.96,62.31,66.21,48.94
Earning Per Share,8.06,15.09,38.42,26.49,25.24,19.26,17.59,21.45,16.59,7.90,11.74,20.69,6.03
Net Working Capital to Total Asseets,-0.04,-0.03,-0.04,-0.13,0.31,0.32,0.29,0.28,0.23,0.13,0.24,0.23,0.09
Current Ratio,0.89,0.91,0.87,0.53,2.63,2.75,2.57,2.77,2.52,1.70,2.62,2.43,1.51
Acid Test,0.51,0.51,0.40,0.21,1.93,1.97,1.81,1.86,1.05,0.34,1.67,1.36,0.46
Times Interest Earned,3.91,4.71,13.46,157.65,199.78,124.88,89.44,180.68,176.54,43.59,18.88,17.61,5.39
Total Debt Ratio,0.40,0.41,0.44,0.42,0.28,0.27,0.29,0.26,0.26,0.25,0.24,0.31,0.40
Debt To Equity,0.66,0.70,0.78,0.73,0.38,0.37,0.41,0.35,0.34,0.34,0.31,0.46,0.66
Return on Capital Employed,0.11,0.16,0.18,0.30,0.36,0.32,0.27,0.30,0.27,0.17,0.24,0.36,0.17
Average Collection Period,9.76,13.96,15.35,4.47,5.54,3.47,7.62,11.08,6.53,2.17,2.63,1.99,3.63
Days sales Inventory,88.77,77.57,113.86,79.65,83.97,73.50,69.48,69.64,92.97,100.75,64.73,76.36,96.93
Total Assets Turnover,0.67,0.76,0.64,0.71,0.96,1.07,1.05,1.07,1.20,1.10,1.09,1.22,0.85
Gross Profit Margin,22.97,23.11,30.72,39.99,40.14,33.59,29.52,30.72,27.70,20.23,25.53,31.83,22.28
Net Profit Margin,5.99,9.98,26.06,20.59,20.76,16.86,16.05,18.56,13.51,8.00,13.26,17.54,8.70
