Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Fixed Assets,"6,078,316,000","5,907,192,000","5,304,706,000","5,457,714,000","5,340,235,000","4,694,984,000","4,354,435,000","3,515,096,000","3,429,698,000"
Investments,"1,311,832,000","38,700,000",0,0,0,0,0,"14,849,000","13,654,000"
Cash in Hand and Bank,"884,428,000","1,196,961,000","86,896,000","63,232,000","60,783,000","27,385,000","7,739,000","18,653,000","13,729,000"
Stores and Spares,"238,475,000","221,935,000","215,128,000","168,082,000","156,619,000","185,303,000","144,637,000","114,718,000","104,314,000"
Stock in Trade,"3,219,581,000","2,445,741,000","1,717,868,000","1,361,115,000","1,334,594,000","1,032,582,000","1,096,838,000","640,068,000","703,403,000"
Trade Debts,"2,242,433,000","2,520,485,000","1,807,006,000","1,495,554,000","1,034,339,000","1,115,975,000","1,538,993,000","1,385,388,000","1,437,610,000"
Current Assets,"8,582,068,000","7,040,204,000","4,781,427,000","4,000,305,000","3,260,964,000","2,883,781,000","3,260,042,000","2,455,205,000","2,477,008,000"
Quick Assets,"5,124,012,000","4,372,528,000","2,848,431,000","2,471,108,000","1,769,751,000","1,665,896,000","2,018,567,000","1,700,419,000","1,669,291,000"
Total Assets,"14,679,528,000","12,997,961,000","10,099,541,000","9,470,497,000","8,610,761,000","7,586,987,000","7,623,904,000","5,976,468,000","5,912,234,000"
Interest Bearing Long Term Liability,"1,866,912,000","1,444,487,000","813,274,000","813,507,000","577,560,000","130,452,000","39,985,000","168,489,000","344,206,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"4,276,545,000","3,170,878,000","1,655,616,000","1,708,392,000","1,380,000,000","1,240,175,000","1,868,558,000","1,141,373,000","1,490,368,000"
* Non Interest Bearing Short Term Liability,"1,819,762,000","1,569,692,000","1,504,466,000","1,189,693,000","1,016,062,000","647,543,000","826,791,000","559,821,000","654,171,000"
Trades Payables,"1,776,981,000","1,538,856,000","1,487,539,000","1,174,465,000","1,001,235,000","631,575,000","802,444,000","527,158,000","617,840,000"
Total Current Liabilities,"6,099,101,000","4,743,021,000","3,162,182,000","2,898,085,000","2,396,062,000","1,887,718,000","2,695,349,000","1,701,194,000","2,144,539,000"
Total Liabilities,"8,067,908,000","6,243,802,000","3,999,396,000","3,711,592,000","3,113,293,000","2,130,334,000","2,821,122,000","1,915,753,000","2,524,905,000"
Paid Up Capital,"840,000,000","840,000,000","840,000,000","840,000,000","840,000,000","840,000,000","840,000,000","840,000,000","840,000,000"
Reserves,"5,771,620,000","5,914,159,000","5,260,145,000","4,918,905,000","4,657,468,000","4,616,653,000","3,962,782,000","3,220,715,000","2,547,329,000"
Preferred Equity,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0
Shareholder Equity,"6,611,620,000","6,754,159,000","6,100,145,000","5,758,905,000","5,497,468,000","5,456,653,000","4,802,782,000","4,060,715,000","3,387,329,000"
Paid Up Value,10,10,10,10,10,10,10,10,10
Number of Shares,"84,000,000","84,000,000","84,000,000","84,000,000","84,000,000","84,000,000","84,000,000","84,000,000","84,000,000"
