Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Payout,221.66,29.07,40.66,41.08,44.45,45.19,9.85,11.09,19.09
Plow Back,-121.66,70.93,59.34,58.92,55.55,54.81,90.15,88.91,80.91
Return on Equity,1.72,12.83,8.47,7.46,6.88,13.63,17.75,18.65,12.99
Return on Assets,0.77,6.67,5.11,4.53,4.39,9.80,11.18,12.67,7.44
Book Value per Share,78.71,80.41,72.62,68.56,65.45,64.96,57.18,48.34,40.33
Earning Per Share,1.35,10.32,6.15,5.11,4.50,8.85,10.15,9.02,5.24
Net Working Capital to Total Asseets,0.17,0.18,0.16,0.12,0.10,0.13,0.07,0.13,0.06
Current Ratio,1.41,1.48,1.51,1.38,1.36,1.53,1.21,1.44,1.16
Acid Test,0.84,0.92,0.90,0.85,0.74,0.88,0.75,1.00,0.78
Times Interest Earned,2.33,9.54,7.49,6.06,6.52,6.61,8.92,6.26,4.01
Total Debt Ratio,0.55,0.48,0.40,0.39,0.36,0.28,0.37,0.32,0.43
Debt To Equity,1.22,0.92,0.66,0.64,0.57,0.39,0.59,0.47,0.75
Return on Capital Employed,0.05,0.13,0.10,0.08,0.08,0.16,0.20,0.22,0.18
Average Collection Period,103.08,118.44,80.04,79.04,58.42,58.20,86.85,82.40,96.25
Days sales Inventory,172.57,141.54,94.73,90.51,94.52,76.38,85.20,55.19,64.08
Total Assets Turnover,0.54,0.60,0.82,0.73,0.75,0.92,0.85,1.03,0.92
Gross Profit Margin,7.89,11.43,9.61,10.71,10.89,16.84,17.77,18.66,15.61
Net Profit Margin,1.43,11.16,6.27,6.22,5.85,10.62,13.18,12.34,8.07
