Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"53,541,043","46,026,125","54,786,722","60,541,561","70,906,597","45,338,977","49,394,806","45,460,664","51,436,951","58,339,535","66,100,756","54,907,327"
Investments,0,0,0,0,0,0,0,0,0,"16,690,079","17,385,206","16,487,720"
Cash in Hand and Bank,"1,697,333","1,561,811","12,560,051","22,119,421","48,677,491","92,640,971","232,119,221","298,688,675","142,592,163","269,602,710","122,031,909","226,438,334"
Stores and Spares,0,0,0,0,"1,653,593","1,653,593","1,653,593","1,653,593","1,653,593","1,653,593","1,653,593","1,653,593"
Stock in Trade,"57,294,108","75,310,663","23,935,363","58,305,499","66,770,116","66,335,924","18,130,958","6,058,337","12,853,757","4,104,613","3,264,562","3,264,562"
Trade Debts,"11,261,654","12,590,637","4,469,438","16,776,000","105,610,205","269,767,775","379,691,302","466,414,476","179,706,232","56,981,540","121,520,225","205,997,238"
Current Assets,"209,397,332","231,427,237","236,462,109","351,641,844","398,194,022","611,023,349","732,654,655","824,414,263","396,048,896","409,769,397","306,036,515","492,296,889"
Quick Assets,"152,103,224","156,116,574","212,526,746","293,336,345","329,770,313","543,033,832","712,870,104","816,702,333","381,541,546","404,011,191","301,118,360","487,378,734"
Total Assets,"264,980,487","280,028,822","292,153,428","436,168,108","475,921,560","659,039,228","796,485,123","877,807,558","453,432,579","468,108,932","374,248,889","547,204,216"
Interest Bearing Long Term Liability,"12,245,985",0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"3,459,824","61,151,833","32,000,000","132,644,480",0,0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"218,021,754","160,080,502","97,479,299","84,727,131","222,607,245","381,489,308","524,631,007","590,486,679","268,269,595","300,071,220","221,492,736","411,200,644"
Trades Payables,"43,125,707","111,151,760","97,334,045","84,625,626","222,607,245","381,489,308","524,631,007","590,486,679","268,269,595","295,663,778","210,793,341","400,126,672"
Total Current Liabilities,"227,273,503","227,019,497","171,501,084","223,180,062","228,437,493","384,967,433","526,896,527","598,237,496","273,167,982","300,071,220","221,492,736","411,200,644"
Total Liabilities,"245,597,162","233,342,445","177,414,214","228,275,824","235,394,044","391,519,957","532,927,747","603,359,157","277,315,523","305,382,862","224,252,383","417,227,531"
Paid Up Capital,"65,826,000","65,826,000","65,826,000","65,826,000","65,826,000","65,826,000","65,826,000","65,826,000","65,826,000","65,826,000","65,826,000","65,826,000"
Reserves,"-46,442,675","-19,139,623","48,913,214","142,066,284","174,701,516","201,693,271","197,731,376","208,622,401","110,291,056","96,900,070","84,170,506","64,150,685"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"19,383,325","46,686,377","114,739,214","207,892,284","240,527,516","267,519,271","263,557,376","274,448,401","176,117,056","162,726,070","149,996,506","129,976,685"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"6,582,600","6,582,600","6,582,600","6,582,600","6,582,600","6,582,600","6,582,600","6,582,600","6,582,600","6,582,600","6,582,600","6,582,600"
