Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"73,893,573","38,068,978","107,962,144","427,290,524","613,951,665","580,257,047","724,179,272","1,061,079,414","291,310,209","462,366,269","535,180,365","795,783,474"
COGS,"63,730,121","37,754,419","94,149,393","334,995,300","518,784,358","475,178,196","600,376,162","787,999,069","232,733,098","394,272,775","408,646,306","647,224,965"
Gross Profit,"10,163,452","314,559","13,812,751","92,295,224","95,167,307","105,078,851","123,803,110","273,080,345","58,577,111","68,093,494","126,534,059","148,558,509"
Administrative Expenses,"43,015,208","46,003,236","61,374,319","110,644,772","48,056,146","61,078,394","66,635,760","56,316,627","37,643,299","29,153,805","35,035,154","28,059,800"
Selling & Distributive Expenses,0,0,0,"21,364,526","30,751,583","29,017,605","36,302,539","53,860,718","14,781,081","23,189,710","25,260,240","41,375,525"
Financial Charges,"6,067,979","4,517,885","4,323,372","3,917,295","3,484,235","2,323,214","2,645,179","881,497","836,662","903,374","1,519,583","673,319"
Other Income,"19,275,132","1,752,106","1,117,012","39,252,905","12,392,104","9,426,315","25,031,155","6,325,082","29,284,496","13,362,345","9,333,419","10,592,157"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"778,000","19,382,164","14,102,896","12,287,516","15,937,217","9,847,260","12,121,853","15,642,332","10,134,307","3,630,569","24,864,522","12,675,283"
EBITDA,"-3,232,995","-54,425,859","-51,105,528","-1,703,354","22,058,788","21,075,810","40,620,664","159,715,037","32,369,503","33,642,154","57,790,917","82,554,382"
EBIT,"-14,354,624","-63,318,735","-60,547,452","-12,748,685","12,814,465","14,561,907","33,774,113","153,585,750","25,302,920","25,481,755","50,707,562","77,040,058"
EBT,"-20,422,603","-67,836,620","-64,870,824","-16,665,980","9,330,230","12,238,693","31,128,934","152,704,253","24,466,258","24,578,381","49,187,979","76,366,739"
Tax,"7,801,367","726,288","27,112,801","15,691,465","3,623,416","8,170,491","24,546,391","54,372,908","9,385,193","11,153,690","16,900,444","24,536,407"
PAT,"-28,223,970","-68,562,908","-91,983,625","-32,357,445","5,706,814","4,068,202","6,582,543","98,331,345","15,081,065","13,424,691","32,287,535","51,830,332"
EPS,-4.29,-10.42,-13.97,-4.92,0.87,0.62,1,14.94,2.29,2.04,4.9,7.87
