Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,0.00,0.00,0.00,809.03,0.00,16.74,0.00,0.00,0.00,25.40
Plow Back,100.00,100.00,100.00,100.00,100.00,-709.03,100.00,83.26,100.00,100.00,100.00,74.60
Return on Equity,-145.61,-146.86,-80.17,-15.56,2.37,1.52,2.50,35.83,8.56,8.25,21.53,39.88
Return on Assets,-10.65,-24.48,-31.48,-7.42,1.20,0.62,0.83,11.20,3.33,2.87,8.63,9.47
Book Value per Share,2.94,7.09,17.43,31.58,36.54,40.64,40.04,41.69,26.75,24.72,22.79,19.75
Earning Per Share,-4.29,-10.42,-13.97,-4.92,0.87,0.62,1,14.94,2.29,2.04,4.90,7.87
Net Working Capital to Total Asseets,-0.07,0.02,0.22,0.29,0.36,0.34,0.26,0.26,0.27,0.23,0.23,0.15
Current Ratio,0.92,1.02,1.38,1.58,1.74,1.59,1.39,1.38,1.45,1.37,1.38,1.20
Acid Test,0.67,0.69,1.24,1.31,1.44,1.41,1.35,1.37,1.40,1.35,1.36,1.19
Times Interest Earned,-2.37,-14.02,-14.00,-3.25,3.68,6.27,12.77,174.23,30.24,28.21,33.37,114.42
Total Debt Ratio,0.93,0.83,0.61,0.52,0.49,0.59,0.67,0.69,0.61,0.65,0.60,0.76
Debt To Equity,12.67,5.00,1.55,1.10,0.98,1.46,2.02,2.20,1.57,1.88,1.50,3.21
Return on Capital Employed,-0.38,-1.19,-0.50,-0.06,0.05,0.05,0.13,0.55,0.14,0.15,0.33,0.57
Average Collection Period,55.63,120.72,15.11,14.33,62.79,169.69,191.37,160.44,225.16,44.98,82.88,94.48
Days sales Inventory,328.14,728.08,92.79,63.53,48.14,52.23,12.03,3.57,22.75,5.33,4.39,2.77
Total Assets Turnover,0.28,0.14,0.37,0.98,1.29,0.88,0.91,1.21,0.64,0.99,1.43,1.45
Gross Profit Margin,13.75,0.83,12.79,21.60,15.50,18.11,17.10,25.74,20.11,14.73,23.64,18.67
Net Profit Margin,-38.20,-180.10,-85.20,-7.57,0.93,0.70,0.91,9.27,5.18,2.90,6.03,6.51
