Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Investments,"2,257,338,000","1,873,721,000","1,686,135,000","1,542,658,000","1,203,669,000","1,061,354,691","912,462,977","654,704,671","554,394,097","510,062,693","413,606,523"
Fixed Assets,"285,565,000","228,834,000","120,189,000","133,457,000","98,299,000","46,860,445","62,982,418","70,594,296","47,989,542","44,601,942","126,820,143"
Other Non Current Assets,"427,770,000","307,693,000","134,438,000","12,792,000","64,313,000","7,987,798","12,440,893","10,499,305","4,472,274","6,081,498","8,020,963"
Cash in Hand and Bank,"342,237,000","147,175,000","191,755,000","151,902,000","115,264,000","133,968,902","119,602,484","483,241,871","130,566,287","91,251,429","114,277,274"
Other Current Assets,"2,118,488,000","2,297,142,000","2,404,616,000","1,807,718,000","1,360,156,000","1,247,776,595","1,130,505,991","1,006,021,298","807,557,885","801,935,999","533,026,181"
Total Assets,"5,431,398,000","4,854,565,000","4,537,133,000","3,726,578,000","2,841,701,000","2,497,948,431","2,237,994,763","2,225,061,441","1,544,980,085","1,453,933,561","1,195,751,084"
Under Writing Provisions,"2,117,312,000","2,195,594,000","2,045,241,000","1,651,460,000","1,412,067,000","1,344,769,548","1,307,779,309","1,084,382,558","810,378,263","833,018,628","776,587,694"
Creditors and Accruals,"1,081,379,000","778,723,000","816,665,000","541,795,000","381,616,000","343,742,791","281,638,722","614,649,550","280,646,459","290,058,284","134,122,964"
Other Liabilites,"266,328,000","193,527,000","164,937,000","123,691,000","72,241,000","29,900,993","30,101,332","18,875,500","21,747,968","15,023,802","16,629,128"
Total Liabilities,"3,465,019,000","3,167,844,000","3,026,843,000","2,341,406,000","1,865,924,000","1,718,413,332","1,619,519,363","1,717,907,608","1,112,772,690","1,138,100,714","927,339,786"
Paid Up Capital,"719,019,000","625,234,000","625,234,000","543,681,000","388,344,000","388,344,030","388,344,030","323,620,030","308,209,560","203,774,920","203,774,920"
Reserves,"1,247,360,000","1,061,487,000","885,056,000","841,491,000","587,433,000","391,191,069","230,131,370","183,533,803","123,997,835","112,057,927","64,636,378"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"1,966,379,000","1,686,721,000","1,510,290,000","1,385,172,000","975,777,000","779,535,099","618,475,400","507,153,833","432,207,395","315,832,847","268,411,298"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"71,901,900","62,523,400","62,523,400","54,368,163","38,834,403","38,834,403","38,834,403","32,362,003","30,820,956","20,377,492","20,377,492"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0
