Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"938,599,000","786,604,000","667,623,000","654,025,000","716,566,000","616,118,000","573,393,000","504,722,000","457,785,000","391,297,000","345,436,000","344,480,000","303,374,000"
Investments,"1,217,335,000","1,218,635,000","1,687,566,000","1,785,784,000","1,505,282,000","1,418,844,000","1,538,730,000","753,466,000","1,016,650,000","896,603,000","609,152,000","362,413,000","259,711,000"
Cash in Hand and Bank,"70,615,000","135,948,000","230,264,000","232,115,000","174,485,000","232,213,000","135,344,000","550,812,000","344,892,000","126,541,000","193,058,000","225,651,000","163,353,000"
Stores and Spares,"106,752,000","108,143,000","83,178,000","61,927,000","51,530,000","51,312,000","55,336,000","75,107,000","77,772,000","61,356,000","46,704,000","41,495,000","37,148,000"
Stock in Trade,"1,385,313,000","1,085,156,000","964,242,000","745,822,000","792,163,000","699,597,000","442,487,000","625,925,000","681,927,000","605,767,000","630,739,000","448,686,000","285,016,000"
Trade Debts,"321,641,000","669,222,000","431,931,000","430,360,000","403,261,000","511,947,000","246,250,000","472,811,000","315,856,000","355,221,000","309,221,000","237,009,000","190,395,000"
Current Assets,"2,515,891,000","2,725,083,000","2,524,299,000","2,358,630,000","1,893,432,000","1,894,513,000","1,493,000,000","1,799,451,000","2,408,229,000","2,051,841,000","1,801,777,000","1,114,661,000","986,087,000"
Quick Assets,"1,023,826,000","1,531,784,000","1,476,879,000","1,550,881,000","1,049,739,000","1,143,604,000","995,177,000","1,098,419,000","1,648,530,000","1,384,718,000","1,124,334,000","624,480,000","663,923,000"
Total Assets,"4,682,375,000","4,668,978,000","4,350,025,000","4,162,895,000","3,760,238,000","3,545,185,000","3,100,947,000","3,013,012,000","2,919,968,000","2,447,387,000","2,149,465,000","1,671,491,000","1,471,532,000"
Interest Bearing Long Term Liability,"8,712,000",0,0,0,0,0,0,0,0,"558,000","2,434,000","2,612,000","2,691,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"6,325,000",0,0,0,0,0,0,0,"434,000","1,885,000","2,441,000","3,156,000","8,301,000"
* Non Interest Bearing Short Term Liability,"723,696,000","490,028,000","436,227,000","452,814,000","371,692,000","319,203,000","230,275,000","270,217,000","278,186,000","269,052,000","291,379,000","183,704,000","204,468,000"
Trades Payables,"723,696,000","490,028,000","436,227,000","452,814,000","371,692,000","319,203,000","230,275,000","270,217,000","278,186,000","267,985,000","291,379,000","168,690,000","200,790,000"
Total Current Liabilities,"762,263,000","520,294,000","462,247,000","452,814,000","371,692,000","339,730,000","230,275,000","298,752,000","300,878,000","276,415,000","303,069,000","195,987,000","212,769,000"
Total Liabilities,"770,975,000","526,180,000","479,039,000","481,116,000","413,096,000","394,507,000","291,330,000","353,192,000","352,384,000","296,804,000","332,139,000","229,323,000","234,245,000"
Paid Up Capital,"144,000,000","144,000,000","144,000,000","144,000,000","144,000,000","144,000,000","144,000,000","144,000,000","144,000,000","144,000,000","144,000,000","144,000,000","120,000,000"
Reserves,"3,767,400,000","3,998,798,000","3,726,986,000","3,537,779,000","3,203,142,000","3,006,678,000","2,665,617,000","2,515,820,000","2,423,584,000","2,006,583,000","1,673,326,000","1,298,168,000","1,117,287,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"3,911,400,000","4,142,798,000","3,870,986,000","3,681,779,000","3,347,142,000","3,150,678,000","2,809,617,000","2,659,820,000","2,567,584,000","2,150,583,000","1,817,326,000","1,442,168,000","1,237,287,000"
Paid Up Value,5,5,5,5,5,5,5,5,5,5,5,5,5
Number of Shares,"28,800,000","28,800,000","28,800,000","28,800,000","28,800,000","28,800,000","28,800,000","28,800,000","28,800,000","28,800,000","28,800,000","28,800,000","24,000,000"
