Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"13,992,388,000","19,372,522,000","18,871,448,000","12,098,828,000","9,636,109,000","8,780,685,000","9,262,626,000","14,779,564,000","10,113,572,000","14,936,034,000","15,764,825,000","10,107,874,000"
COGS,"11,447,672,000","14,707,038,000","13,611,710,000","8,750,087,000","7,136,631,000","6,512,542,000","7,193,257,000","11,988,003,000","8,240,616,000","11,987,519,000","13,119,011,000","8,530,087,000"
Gross Profit,"2,544,716,000","4,665,484,000","5,259,738,000","3,348,741,000","2,499,478,000","2,268,143,000","2,069,369,000","2,791,561,000","1,872,956,000","2,948,515,000","2,645,814,000","1,577,787,000"
Administrative Expenses,"296,763,000","305,425,000","237,798,000","250,336,000","297,194,000","203,668,000","172,773,000","142,805,000","133,245,000","121,174,000","111,270,000","91,560,000"
Selling & Distributive Expenses,"263,946,000","276,950,000","240,830,000","162,088,000","111,907,000","101,463,000","125,208,000","98,111,000","82,474,000","92,605,000","87,569,000","75,286,000"
Financial Charges,"398,463,000","125,568,000","929,000","1,018,000","1,100,000","1,369,000","396,000","1,725,000","2,135,000","1,324,000","2,154,000","2,734,000"
Other Income,"61,423,000","61,902,000","144,076,000","153,929,000","480,052,000","457,194,000","402,283,000","537,742,000","560,447,000","381,640,000","411,070,000","399,487,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"298,443,000","284,608,000","339,244,000","211,703,000","177,283,000","166,900,000","149,981,000","212,980,000","152,874,000","214,939,000","197,057,000","124,753,000"
EBITDA,"1,827,822,000","3,930,464,000","4,644,984,000","2,936,655,000","2,439,293,000","2,295,516,000","2,062,691,000","2,912,283,000","2,099,347,000","2,933,238,000","2,689,602,000","1,712,840,000"
EBIT,"1,746,987,000","3,860,403,000","4,585,942,000","2,878,543,000","2,393,146,000","2,253,306,000","2,023,690,000","2,875,407,000","2,064,810,000","2,901,437,000","2,660,988,000","1,685,675,000"
EBT,"1,348,524,000","3,734,835,000","4,585,013,000","2,877,525,000","2,392,046,000","2,251,937,000","2,023,294,000","2,873,682,000","2,062,675,000","2,900,113,000","2,658,834,000","1,682,941,000"
Tax,"370,872,000","1,282,321,000","1,461,893,000","950,641,000","799,763,000","677,193,000","651,804,000","957,164,000","703,795,000","991,241,000","915,299,000","569,685,000"
PAT,"977,652,000","2,452,514,000","3,123,120,000","1,926,884,000","1,592,283,000","1,574,744,000","1,371,490,000","1,916,518,000","1,358,880,000","1,908,872,000","1,743,535,000","1,113,256,000"
EPS,16.87,42.31,53.88,33.24,27.47,27.17,31.94,44.64,31.65,44.46,40.61,25.93
