Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2005,2004
Fixed Assets,"61,589,127","25,273,958","30,323,605","36,592,671","43,437,245","50,787,754","57,424,607","39,593,712","46,214,078","53,333,298","61,151,042","72,156,282","28,298,232","6,755,485","3,061,770"
Investments,"18,038,298,050","25,966,186,666","36,432,684,244","36,505,115,986","35,684,754,106","34,692,353,218","30,461,726,672","26,888,625,798","28,108,550,002","24,778,949,562","22,873,315,418","19,088,916,103","23,118,133,980","5,438,331,339","2,010,370,205"
Cash in Hand and Bank,"35,243,437","426,594,984","44,484,031","38,879,660","25,033,510","2,025,281,649","23,103,533","97,200,299","11,179,973","8,570,742","7,429,578","18,659,532","23,283,454","28,809,752","554,213,791"
Stores and Spares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stock in Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trade Debts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Assets,"3,453,259,410","10,114,253,749","11,470,614,010","7,574,486,162","6,261,883,152","5,758,238,296","3,381,286,696","2,777,403,236","3,424,824,528","1,787,865,956","3,791,013,712","5,302,274,855","5,905,422,580","6,502,466,713","3,088,597,429"
Quick Assets,"3,453,259,410","10,114,253,749","11,470,614,010","7,574,486,162","6,261,883,152","5,758,238,296","3,381,286,696",0,0,"1,787,865,956","3,791,013,712","5,302,274,855","5,905,422,580","6,502,466,713","3,088,597,429"
Total Assets,"18,978,026,120","26,708,568,580","39,258,276,693","37,735,009,679","36,764,442,758","39,596,881,212","33,510,678,279","29,970,124,490","30,070,461,075","25,684,447,825","23,388,229,414","21,919,015,055","23,277,575,226","7,837,922,623","3,222,755,199"
Interest Bearing Long Term Liability,"14,582,113",0,"325,000,000","455,179,583","147,819,191","346,854,503","194,417,162",0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"683,582,958","1,803,620,434","1,397,663,246","1,259,047,263","2,696,645,748","3,409,035,322","1,443,236,967",0,0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"28,706,598","4,969,841,972","4,927,351,369","2,826,193,147","2,079,057,506","1,858,522,339","1,391,233,350",0,0,0,0,0,0,0,0
Trades Payables,"4,647,143","4,913,614,341","4,904,954,300","2,681,803,807","1,905,179,120","1,815,576,478","1,332,920,961",0,0,0,0,0,0,0,0
Total Current Liabilities,"759,124,828","6,830,617,297","6,676,443,246","4,374,718,616","4,929,691,908","5,773,125,402","3,117,824,924","2,375,147,768","2,336,016,905","1,480,772,949","720,688,226","2,833,460,156","1,917,476,305","2,340,050,541","222,255,203"
Total Liabilities,"874,989,777","6,830,617,297","9,354,811,706","7,265,531,167","7,701,412,122","10,151,949,517","7,760,098,839","5,285,592,875","5,825,443,011","4,572,796,857","3,604,084,039","5,783,692,122","4,227,651,701","2,340,050,541","222,255,203"
Paid Up Capital,"4,083,750,000","4,537,500,000","4,537,500,000","4,537,500,000","4,537,500,000","4,537,500,000","4,537,500,000","4,537,500,000","4,125,000,000","3,750,000,000","3,750,000,000","3,750,000,000","3,000,000,000","200,000,000","80,000,000"
Reserves,"14,019,286,343","15,340,451,283","25,301,928,003","25,931,978,512","24,525,530,636","24,907,431,695","21,213,079,440","20,147,031,615","20,120,018,064","17,361,650,968","16,034,145,375","12,385,322,933","16,049,923,525","5,303,872,082","2,920,499,996"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,"64,036,984",0,0,0,0,0,0,0,0,0,0,"-6,000,000",0
Shareholder Equity,"18,103,036,343","19,877,951,283","29,903,464,987","30,469,478,512","29,063,030,636","29,444,931,695","25,750,579,440","24,684,531,615","24,245,018,064","21,111,650,968","19,784,145,375","16,135,322,933","19,049,923,525","5,497,872,082","3,000,499,996"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"408,375,000","453,750,000","453,750,000","453,750,000","453,750,000","453,750,000","453,750,000","453,750,000","412,500,000","375,000,000","375,000,000","375,000,000","300,000,000","20,000,000","8,000,000"
