Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2005,2004
Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross Profit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Administrative Expenses,"115,248,011","102,492,959","106,214,522","116,727,915","117,011,097","143,311,687","99,369,296","95,059,292","85,325,859","69,403,580","58,894,216","168,860,237","93,305,851","129,966,119","97,970,102"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"195,847,381","172,040,380","116,456,580","148,335,384","277,668,410","241,612,409","208,404,709","292,026,868","300,761,625","177,120,309","229,462,405","456,114,717","71,412,061","109,657,306","32,295,713"
Other Income,"-130,457,709","-603,175,392","1,182,606,214","2,673,592,567","1,979,374,157","4,816,662,384","2,665,732,937","194,924","407,015","204,671,387","12,382,120","84,185,148","19,381,007","6,976,697","5,928,634"
Change In Value of Investment,0,0,0,0,0,0,0,"125,420,286",0,"1,350,910,764","2,608,943,051","-1,349,563,375","4,836,626,205","-80,452,145","-20,480,928"
Other Expenses,"258,383","24,078,582","11,814,624","27,525,602","16,348,531","186,659,023","82,308,451","257,349,451","37,050,000","55,476,000","97,423,752",0,0,0,"8,503"
EBITDA,"-227,813,540","-724,288,981","1,071,265,596","2,537,480,336","1,854,548,646","4,496,486,093","2,491,711,978",0,0,"3,325,187,205","3,961,958,793","-1,678,471,971","9,585,638,205","2,749,622,273","1,786,199,796"
EBIT,"-245,964,103","-729,746,933","1,064,577,068","2,529,339,050","1,846,014,529","4,486,691,674","2,484,055,190","1,806,227,945","4,294,996,308","3,325,187,205","3,961,958,793","-1,678,471,971","9,585,638,205","2,749,622,273","1,786,199,796"
EBT,"-441,811,484","-901,787,313","948,120,488","2,381,003,666","1,568,346,119","4,245,079,265","2,275,650,481","1,514,201,077","3,994,234,683","3,148,066,896","3,732,496,388","-2,134,586,688","9,514,226,144","2,639,964,967","1,753,904,083"
Tax,"128,063,609","62,053,738","127,132,183","-10,369,351","287,222,131","-193,674,007","-30,668,991","148,456,148","-260,071,394","307,587,332","-65,969,106","634,341,049","1,543,404,787","56,592,881","48,565,547"
PAT,"-569,875,093","-963,841,051","820,988,305","2,391,373,017","1,281,123,988","4,438,753,272","2,306,319,472","1,365,744,929","4,254,306,077","2,840,479,564","3,798,465,494","-2,768,927,737","7,970,821,357","2,583,372,086","1,705,338,536"
EPS,-1.38,-2.12,1.81,5.27,2.82,9.78,5.08,3.01,10.31,7.57,10.13,-7.38,21.26,129.17,85.27
