Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Long Term Loans & Advances,"5,584,545","4,488,985","15,102,524","19,033,324","15,730,022","14,886,171","7,820,217","3,511,500","262,270,429","14,129,904","14,126,904","13,978,704"
Investments,"1,805,029,993","4,291,567,205","4,212,675,726","3,805,294,022","4,035,605,243","2,221,893,128","2,815,574,456","2,390,576,898","1,552,733,697","669,010,549","88,029,090","1,080,656,510"
Fixed Assets,"107,371,346","38,761,490","36,971,443","40,928,161","43,709,729","48,446,729","56,143,981","62,828,262","73,277,343","85,922,882","98,648,454","108,676,356"
Cash in Hand and Bank,"806,181,448","627,456,271","686,765,082","832,793,413","306,240,100","495,624,281","168,992,512","406,760,741","47,956,149","23,883,623","77,954,222","16,367,804"
Current Assets,"4,967,700,671","3,711,785,971","3,877,950,857","5,081,402,719","4,723,318,459","3,212,248,335","4,146,704,310","2,997,102,919","2,869,857,089","941,098,268","1,826,105,245","2,597,875,372"
Total Assets,"6,892,662,059","5,642,456,863","5,473,367,385","5,692,984,008","5,563,341,902","4,034,683,369","4,770,940,062","3,616,899,486","3,257,943,540","1,236,123,071","2,069,840,994","2,827,975,432"
Total Non Current Liabilities,"358,429,181",0,0,"470,480","1,878,241","1,660,874","2,235,913","300,168,506","264,768,176","232,624,276","4,385,569",0
Total Current Liabilities,"3,267,804,731","2,724,889,709","2,286,051,538","2,491,453,777","2,855,939,358","1,351,994,943","2,756,644,049","1,973,315,182","1,897,229,029","273,463,773","813,231,122","1,681,033,754"
Total Liabilities,"3,626,233,912","2,724,889,709","2,286,051,538","2,491,924,257","2,857,817,599","1,353,655,817","2,758,879,962","2,273,483,688","2,161,997,205","506,088,049","817,616,691","1,681,033,754"
Paid Up Capital,"594,000,000","660,000,000","550,000,000","550,000,000","550,000,000","550,000,000","550,000,000","500,000,000","450,000,000","450,000,000","375,000,000","300,000,000"
Reserves,"2,173,236,272","2,242,134,654","2,621,883,347","2,635,627,251","2,140,091,803","2,115,595,052","1,462,060,100","843,415,798","645,946,335","280,035,022","877,224,303","846,941,678"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"3,266,428,147","2,917,567,154","3,187,315,847","3,201,059,751","2,705,524,303","2,681,027,552","2,012,060,100","1,343,415,798","1,095,946,335","730,035,022","1,252,224,303","1,146,941,678"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"59,400,000","66,000,000","55,000,000","55,000,000","55,000,000","55,000,000","55,000,000","50,000,000","45,000,000","45,000,000","37,500,000","30,000,000"
Surplus On Revaluation of Assets,"499,191,875","15,432,500","15,432,500","15,432,500","15,432,500","15,432,500",0,0,0,0,0,0
