Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Net Working Capital to Total Asseets,0.25,0.17,0.29,0.45,0.34,0.46,0.29,0.28,0.30,0.54,0.49,0.32
Current Ratio,1.52,1.36,1.70,2.04,1.65,2.38,1.50,1.52,1.51,3.44,2.25,1.55
Time Interest Earn,1.36,1.06,4.53,9.24,3.75,5.90,3.37,3.23,3.13,-7.05,2.53,1.71
Return on Capital Employed,0.14,0.08,0.26,0.40,0.23,0.51,0.60,0.35,0.43,-0.50,0.22,0.35
Payout,248.09,0.00,30.77,62.46,94.02,41.46,33.59,39.22,36.89,0.00,0.00,29.40
Plow Back,-148.09,100.00,69.23,37.54,5.98,58.54,66.41,60.78,63.11,100.00,100.00,70.60
Return on Equity,1.83,-2.14,16.82,27.51,15.14,34.63,40.69,28.47,33.39,-76.63,12.00,13.34
Return on Assets,0.87,-1.11,9.80,15.47,7.36,23.01,17.16,10.57,11.23,-45.25,7.26,5.41
Book Value per Share,54.99,44.21,57.95,58.20,49.19,48.75,36.58,26.87,24.35,16.22,33.39,38.23
Earning Per Share,1,-0.95,9.75,16.01,7.45,16.88,14.88,7.65,8.13,-12.43,4.01,4.08
