Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Investments,"26,289,568,000","24,114,124,000","16,618,566,000","16,738,435,000","15,393,433,000","13,482,064,000","11,359,717,000","9,948,294,000","9,451,731,000","9,406,998,000","9,658,030,000","7,576,749,000","8,132,102,000","4,502,776,000"
Fixed Assets,"4,232,130,000","3,514,313,000","2,585,278,000","1,200,053,000","1,224,806,000","1,065,087,000","1,094,371,000","1,072,315,000","1,025,802,000","1,052,916,000","855,737,000","939,910,000","768,413,000","359,127,000"
Other Non Current Assets,"972,482,000","737,254,000","293,502,000","68,056,000","177,325,000","160,630,000","223,853,000","299,298,000","249,311,000","70,561,000","222,959,000","26,852,000","27,312,000","26,259,000"
Cash in Hand and Bank,"1,176,685,000","2,211,444,000","4,299,108,000","4,336,230,000","2,898,132,000","2,876,630,000","2,546,276,000","2,507,411,000","2,378,967,000","2,704,817,000","2,157,104,000","1,724,106,000","954,197,000","883,228,000"
Other Current Assets,"16,867,397,000","17,267,959,000","18,490,685,000","16,137,980,000","12,562,283,000","11,247,600,000","11,977,769,000","10,779,845,000","10,976,581,000","14,651,443,000","8,718,548,000","8,277,290,000","8,883,939,000","5,367,709,000"
Total Assets,"49,538,262,000","47,845,094,000","42,287,139,000","38,579,911,000","32,255,979,000","28,832,011,000","27,201,986,000","24,607,163,000","24,082,392,000","27,886,735,000","21,612,378,000","18,544,907,000","18,765,963,000","11,139,099,000"
Under Writing Provisions,"20,847,446,000","20,784,247,000","20,638,548,000","17,183,672,000","11,916,166,000","11,207,342,000","11,549,688,000","10,636,225,000","10,248,051,000","13,303,278,000","8,210,159,000","8,753,875,000","9,510,664,000","6,296,121,000"
Creditors and Accruals,"4,835,759,000","6,024,243,000","4,415,180,000","4,144,353,000","4,501,999,000","3,318,761,000","2,520,916,000","2,339,555,000","2,819,362,000","3,326,021,000","2,344,753,000","1,312,620,000","1,570,362,000","1,028,736,000"
Other Liabilites,"2,474,565,000","1,373,246,000","439,224,000","204,917,000","191,245,000","201,664,000","84,835,000","91,587,000","114,073,000","222,437,000","276,291,000","34,221,000","33,190,000","26,369,000"
Total Liabilities,"28,157,770,000","28,181,736,000","25,492,952,000","21,579,308,000","16,609,410,000","14,727,767,000","14,155,439,000","13,067,367,000","13,181,486,000","16,851,736,000","10,831,203,000","10,100,716,000","11,114,216,000","7,351,226,000"
Paid Up Capital,"3,500,000,000","3,500,000,000","3,500,000,000","3,500,000,000","3,500,000,000","3,500,000,000","3,500,000,000","1,237,045,000","1,237,045,000","1,237,045,000","1,124,586,000","1,022,351,000","1,022,351,000","1,022,351,000"
Reserves,"17,880,492,000","16,163,358,000","13,294,187,000","13,500,603,000","12,146,569,000","10,604,244,000","9,546,547,000","10,302,751,000","9,663,861,000","9,797,954,000","9,656,589,000","7,421,840,000","6,629,396,000","2,765,522,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"21,380,492,000","19,663,358,000","16,794,187,000","17,000,603,000","15,646,569,000","14,104,244,000","13,046,547,000","11,539,796,000","10,900,906,000","11,034,999,000","10,781,175,000","8,444,191,000","7,651,747,000","3,787,873,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"350,000,000","350,000,000","350,000,000","350,000,000","350,000,000","350,000,000","350,000,000","123,704,543","123,704,544","123,704,544","112,458,676","102,235,100","102,235,100","102,235,100"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0
