Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Net Premium Revenue,"15,433,989,000","13,805,781,000","11,656,552,000","9,615,381,000","7,747,391,000","6,302,550,000","5,506,556,000","5,671,977,000","6,983,344,000","6,883,397,000","6,806,897,000","7,488,144,000","5,531,818,000","5,280,128,000"
Net Claims,"9,876,537,000","8,385,752,000","7,433,828,000","6,210,499,000","4,779,707,000","4,088,215,000","3,486,861,000","4,142,667,000","4,749,113,000","4,833,516,000","4,452,839,000","5,173,152,000","3,915,091,000","3,354,851,000"
Direct Expenses,"3,396,625,000","3,324,548,000","1,893,360,000","1,614,629,000","1,555,751,000","1,483,354,000","1,535,469,000","1,582,916,000","1,229,337,000","1,254,811,000","1,174,577,000","1,206,563,000","1,054,978,000","923,120,000"
Net Commission,"1,507,205,000","1,279,576,000","1,090,052,000","762,579,000","557,997,000","361,771,000","347,666,000","358,665,000","476,262,000","514,564,000","500,224,000","741,367,000","442,498,000","520,218,000"
Under Writing Results,"653,622,000","815,905,000","1,239,312,000","1,077,987,000","853,936,000","369,210,000","136,560,000","-412,271,000","528,632,000","280,506,000","679,257,000","367,062,000","119,251,000","481,939,000"
Investment Income,"1,372,373,000","1,284,656,000","1,482,144,000","3,502,042,000","2,404,312,000","2,060,861,000","2,357,262,000","1,331,791,000","852,315,000","779,089,000","2,479,419,000","1,098,050,000","4,486,366,000","1,515,259,000"
Administrative & Other Expenses,"67,344,000","113,359,000","789,180,000","630,392,000","628,594,000","527,815,000","447,135,000","420,785,000","1,580,580,000","653,888,000","722,439,000","511,727,000","398,925,000","441,808,000"
Other Income,"562,045,000","186,298,000","188,630,000","186,726,000","196,968,000","128,216,000","163,708,000","167,823,000","157,665,000","170,891,000","158,929,000","183,594,000","71,166,000","119,704,000"
Change In Value of Investement,"12,298,000",0,0,0,0,0,0,0,0,0,0,0,0,0
Statutory Funds Transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBT,"2,532,994,000","2,173,500,000","2,120,906,000","4,053,636,000","2,826,622,000","2,030,472,000","2,210,395,000","666,558,000","-41,968,000","576,598,000","2,595,166,000","1,175,877,000","4,284,885,000","1,684,747,000"
Tax,"720,019,000","934,500,000","899,678,000","560,692,000","271,812,000","151,374,000","244,236,000","42,365,000","-174,145,000","57,682,000","160,683,000","76,727,000","83,635,000","108,246,000"
PAT,"1,812,975,000","1,239,000,000","1,221,228,000","3,492,944,000","2,554,810,000","1,879,098,000","1,966,159,000","624,193,000","132,177,000","518,916,000","2,434,483,000","1,099,150,000","4,201,250,000","1,576,501,000"
EPS,5.18,3.54,3.49,9.98,7.3,5.37,5.62,5.05,1.07,4.19,21.65,10.75,41.09,15.42
