Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Net Premium Revenue,"219,535,000","25,661,000",0,0,0,0,0,0,0,0,0
Net Claims,"82,127,000","50,083,000",0,0,0,0,0,0,0,0,0
Direct Expenses,0,0,0,0,0,0,0,0,0,0,0
Net Commission,0,0,0,0,0,0,0,0,0,0,0
Under Writing Results,"137,408,000",0,0,0,0,0,0,0,0,0,0
Investment Income,"68,124,000","29,631,000","11,717,030","12,653,822","9,852,466","18,723,348","16,381,004","11,707,731","11,837,094","25,713,328","-197,035,479"
Administrative & Other Expenses,"476,215,000","121,127,000","11,818,979","21,565,255","13,929,459","17,241,666","17,424,847","16,778,168","18,354,574","21,963,065","23,373,356"
Other Income,"8,117,000","6,570,000",0,"4,160,707","1,854,370","29,700","1,156,431","457,244","153,417","1,495,586","-2,187,468"
Change In Value of Investement,"196,000","-3,390,000",0,0,0,0,0,0,0,0,0
Statutory Funds Transfer,0,0,0,0,0,"26,875,000","4,100,000",0,0,0,0
EBT,"-262,370,000","-112,738,000","-101,949","-4,750,726","-2,222,623","28,386,382","4,212,588","-4,613,193","-6,364,063","5,245,849","-222,596,303"
Tax,"510,000","255,000","589,116","166,006","-2,062,409","-661,068","-771,429","2,801,730","2,218,754","2,052,165","1,236,232"
PAT,"-262,880,000","-112,993,000","-691,065","-4,916,732","-160,214","29,047,450","4,984,017","-7,414,923","-8,582,817","3,193,684","-223,832,535"
EPS,-2.39,-1.82,-0.01,-0.08,-0.003,0.49,0.1,-0.15,-0.17,0.07,-5.41
