Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"116,802,000","474,160,000","1,621,194,000","1,624,556,000","1,605,936,000","1,435,404,000","1,756,949,000","1,471,563,000","1,154,020,000","990,832,000","800,955,000","659,713,000",0
COGS,"167,863,000","501,829,000","1,558,269,000","1,386,609,000","1,396,051,000","1,263,377,000","1,459,092,000","1,228,881,000","1,001,251,000","796,787,000","609,580,000","509,067,000","38,411,000"
Gross Profit,"-51,061,000","-27,669,000","62,925,000","237,947,000","209,885,000","172,027,000","297,857,000","242,682,000","152,769,000","194,045,000","191,375,000","150,646,000","-38,411,000"
Administrative Expenses,"30,772,000","48,952,000","41,079,000","33,169,000","32,911,000","18,420,000","11,947,000","11,303,000","10,147,000","12,933,000","15,248,000","12,930,000","10,322,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"14,941,000","20,167,000","25,214,000","10,801,000","46,919,000","47,110,000","90,887,000","175,068,000","183,924,000","191,290,000","176,966,000","212,267,000","49,390,000"
Other Income,"1,788,611,000","1,076,976,000","1,455,685,000","1,438,342,000","965,215,000","10,578,000","1,676,745,000","1,815,000","4,644,000","2,558,000","9,481,000","2,944,000","922,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,"24,636,000",0,0,0,0,0,0,0,0,0,0,0
EBITDA,"1,767,593,000","1,038,608,000","1,543,973,000","1,708,157,000","1,206,233,000","234,352,000","2,043,416,000","314,021,000","224,619,000","242,092,000","242,903,000","45,547,000","-12,278,000"
EBIT,"1,706,778,000","975,719,000","1,477,531,000","1,643,120,000","1,142,189,000","164,185,000","1,962,655,000","233,194,000","147,266,000","183,670,000","185,608,000","-26,633,000","-47,811,000"
EBT,"1,691,837,000","955,552,000","1,452,317,000","1,632,319,000","1,095,270,000","117,075,000","1,871,768,000","58,126,000","-36,658,000","-7,620,000","8,642,000","-238,900,000","-97,201,000"
Tax,"2,216,000","730,000","-325,000","-401,000","-2,042,000","1,998,000","3,575,000","301,000","327,000","434,000","1,599,000","1,030,000","323,000"
PAT,"1,689,621,000","954,822,000","1,452,642,000","1,632,720,000","1,097,312,000","115,077,000","1,868,193,000","57,825,000","-36,985,000","-8,054,000","7,043,000","-239,930,000","-97,524,000"
EPS,4.65,2.63,4,4.49,3.02,0.32,5.14,0.16,-0.11,-0.02,0.02,-0.7,-0.28
