Year,2014,2013,2012,2011,2010,2009,2008
Net Working Capital to Total Asseets,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Current Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Interest Earn,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Return on Capital Employed,0.00,0.00,0.00,0.00,0.00,0.00,-0.08
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,1.13,-10.31,-14.62,-6.96,-8.39,0.10,-18.04
Return on Assets,0.35,-4.06,-5.72,-6.53,-7.33,0.07,-8.25
Book Value per Share,4.93,17.23,10.43,6.86,7.34,7.95,5.89
Earning Per Share,0.08,-1.78,-1.53,-0.48,-0.62,0.01,-1.06
