Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"1,236,847,371","1,622,958,663","1,750,599,973","3,388,060,909","4,078,928,051","4,334,512,927","4,699,965,450","5,047,387,746","5,172,623,264","5,496,016,395","5,842,296,075","5,619,807,106"
Investments,"1,161,401,391","1,102,323,583","1,013,917,913",0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"174,851,830","162,688,117","143,771,493","191,853,839","146,089,533","172,408,298","151,281,283","136,308,029","134,888,616","132,933,535","145,464,935","144,262,807"
Stores and Spares,"167,030,937","234,842,917","459,379,792","619,000,181","664,545,130","698,112,426","749,728,790","868,343,077","896,346,667","873,495,727","1,164,442,506","956,701,753"
Stock in Trade,"538,829,362","693,575,967","885,981,055","1,301,252,322","1,797,415,644","2,204,661,263","2,790,660,569","3,727,384,897","4,763,505,715","5,158,262,092","6,541,817,859","6,456,145,097"
Trade Debts,"109,100,262","200,656,695","162,271,598","2,797,094,654","3,357,835,924","4,026,403,565","4,671,392,930","5,324,041,770","5,535,314,802","5,993,469,690","4,583,263,190","3,993,788,168"
Current Assets,"1,275,193,467","1,601,866,767","1,960,968,585","5,237,685,464","6,321,205,784","7,508,910,293","8,724,630,020","10,400,121,579","11,688,573,001","12,703,617,296","13,248,085,497","12,395,153,190"
Quick Assets,"569,333,168","673,447,883","615,607,738","3,317,432,961","3,859,245,010","4,606,136,604","5,184,240,661","5,804,393,605","6,028,720,619","6,671,859,477","5,541,825,132","4,982,306,340"
Total Assets,"3,724,161,755","4,377,868,539","4,782,507,896","8,682,767,798","10,462,155,260","11,898,766,088","13,460,563,338","15,481,217,906","16,879,332,958","18,228,461,274","19,120,154,007","18,053,132,051"
Interest Bearing Long Term Liability,"414,127,318","874,689,239","1,497,729,820","1,260,060,000","1,580,939,617","1,558,109,833","1,828,728,822","1,838,046,515","1,926,723,024","92,384,722","509,600,882","893,640,747"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"8,182,359,627","7,799,881,393","7,426,791,027","8,378,915,377","8,110,888,424","8,040,464,776","7,803,577,291","7,817,758,910","7,678,972,715","9,080,535,005","8,513,532,775","8,528,844,763"
* Non Interest Bearing Short Term Liability,"2,911,503,451","2,948,133,956","2,977,749,553","2,975,187,975","2,985,408,385","3,144,776,813","3,116,909,246","3,255,167,351","2,703,911,384","1,995,831,511","1,288,522,398","1,360,053,157"
Trades Payables,"191,536,088","279,030,327","345,384,902","371,641,366","385,792,130","387,238,772","406,955,359","610,400,855","634,964,157","796,217,630","999,247,293","1,066,170,309"
Total Current Liabilities,"11,120,356,010","10,748,015,349","10,404,540,580","11,354,103,352","11,096,296,809","11,185,241,589","10,920,486,537","11,072,926,261","10,382,884,099","11,079,954,512","9,802,055,173","9,888,897,920"
Total Liabilities,"12,774,285,517","12,730,823,903","12,873,488,249","13,505,098,699","13,457,552,629","13,366,109,240","13,324,751,339","13,386,491,450","12,680,123,242","11,330,066,313","10,355,785,573","10,812,276,018"
Paid Up Capital,"2,594,301,340","2,594,301,340","2,594,301,340","2,594,301,340","2,594,301,340","2,594,301,340","2,594,301,340","2,594,301,340","2,594,301,340","2,594,301,340","2,414,901,340","902,450,670"
Reserves,"-12,477,348,151","-11,814,956,655","-11,561,086,286","-8,543,942,493","-7,227,441,423","-5,791,753,557","-4,353,370,923","-2,576,497,604","-420,711,046","2,150,431,723","4,008,559,024","3,867,409,916"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"832,923,049","867,699,951","875,804,593","1,127,310,252","1,637,742,714","1,730,109,065","1,894,881,582","2,076,922,720","2,025,619,422","2,153,661,898","2,340,908,070","2,470,995,447"
Shareholder Equity,"-9,050,123,762","-8,352,955,364","-8,090,980,353","-4,822,330,901","-2,995,397,369","-1,467,343,152","135,811,999","2,094,726,456","4,199,209,716","6,898,394,961","8,764,368,434","7,240,856,033"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"259,430,134","259,430,134","259,430,134","259,430,134","259,430,134","259,430,134","259,430,134","259,430,134","259,430,134","259,430,134","241,490,134","90,245,067"
