Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"544,873,389","629,535,576","842,865,636","1,698,217,424","2,154,385,182","2,905,180,803","2,812,437,021","2,485,357,200","3,001,816,336","6,426,927,017","11,066,128,618","14,119,587,545"
COGS,"786,021,749","790,582,001","1,335,487,192","2,328,104,119","2,777,481,623","3,590,902,113","3,920,739,449","3,202,969,944","2,950,805,307","6,601,321,097","8,119,352,077","10,731,034,042"
Gross Profit,"-241,148,360","-161,046,425","-492,621,556","-629,886,695","-623,096,441","-685,721,310","-1,108,302,428","-717,612,744","51,011,029","-174,394,080","2,946,776,541","3,388,553,503"
Administrative Expenses,"301,059,289","38,254,756","2,571,265,879","656,744,223","706,427,594","747,506,761","735,887,202","725,200,600","1,383,279,784","126,737,941","157,874,895","126,535,980"
Selling & Distributive Expenses,"12,811,634","13,183,275","14,873,612","19,888,594","18,310,803","24,819,187","17,929,077","21,246,628","44,153,350","207,295,200","439,558,591","560,158,794"
Financial Charges,"201,839,880","182,310,412","165,210,794","146,852,635","155,260,377","180,418,898","179,906,637","913,965,067","1,316,363,011","1,331,605,221","1,457,787,038","1,577,758,949"
Other Income,"115,644,968","142,215,704","-14,125,557","-14,787,562","-11,265,326","47,416,734","82,669,382","62,275,099","4,215,047","24,391,667","2,093,947","5,132,136"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,0,0,0,0,0,0,0,0,0,"59,842,101","74,069,015"
EBITDA,"-365,550,933","31,177,308","-2,963,683,763","-1,054,090,381","-1,069,356,028","-1,108,287,619","-1,451,867,707","-1,076,700,387","-1,032,404,625","-140,802,948","2,639,653,126","2,894,530,887"
EBIT,"-439,374,315","-70,268,752","-3,092,886,604","-1,321,307,074","-1,359,100,164","-1,410,630,524","-1,779,449,325","-1,401,784,873","-1,372,207,058","-484,035,554","2,291,594,901","2,632,921,850"
EBT,"-641,214,195","-252,579,164","-3,258,097,398","-1,468,159,709","-1,514,360,541","-1,591,049,422","-1,959,355,962","-2,315,749,940","-2,688,570,069","-1,815,640,775","833,807,863","1,055,162,901"
Tax,"29,751,791","10,139,790","12,227,321","-17,395,713","-11,537,056","11,068,987","7,277,808","6,306,655","10,615,176","50,332,698","103,295,462","134,299,960"
PAT,"-670,965,986","-262,718,954","-3,270,324,719","-1,485,555,422","-1,525,897,597","-1,602,118,409","-1,966,633,770","-2,322,056,595","-2,699,185,245","-1,865,973,473","730,512,401","920,862,941"
EPS,-2.59,-1.01,-12.61,-5.73,-5.88,-6.18,-7.58,-8.95,-10.4,-7.19,3.74,5.19
