Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"201,078,720,000","223,054,352,000","177,344,437,000","138,660,665,000","109,234,361,000","171,729,782,000","205,162,911,000","164,710,177,000","152,843,437,000","109,394,725,000","82,791,918,000","61,863,152,000","53,242,330,000"
COGS,"197,440,830,000","214,833,185,000","167,601,143,000","131,325,344,000","103,485,300,000","166,803,273,000","199,220,617,000","159,533,376,000","148,255,584,000","104,680,507,000","79,032,034,000","58,570,802,000","50,493,929,000"
Gross Profit,"3,637,890,000","8,221,167,000","9,743,294,000","7,335,321,000","5,749,061,000","4,926,509,000","5,942,294,000","5,176,801,000","4,587,853,000","4,714,218,000","3,759,884,000","3,292,350,000","2,748,401,000"
Administrative Expenses,"3,078,683,000","3,590,296,000","2,542,546,000","1,880,857,000","1,700,072,000","2,188,975,000","1,936,607,000","1,467,988,000","889,356,000","611,315,000","480,860,000","506,061,000","372,670,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"1,597,199,000","848,992,000","564,333,000","324,461,000","200,372,000","131,943,000","133,630,000","1,666,129,000","1,211,047,000","682,666,000","319,865,000",0,0
Other Income,"2,659,000,000","2,254,312,000","2,092,372,000","2,267,938,000","2,191,161,000","2,266,283,000","2,469,031,000","3,961,239,000","3,575,255,000","3,034,980,000","2,331,977,000","1,719,329,000","1,337,187,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"117,922,000","313,334,000","439,475,000","-301,227,000","406,328,000","334,019,000","434,523,000","410,519,000","415,965,000","437,706,000","444,827,000","225,199,000","183,366,000"
EBITDA,"4,273,734,000","7,163,444,000","9,275,591,000","8,371,329,000","6,151,994,000","4,960,845,000","6,362,063,000","7,483,860,000","7,033,226,000","6,845,241,000","5,293,472,000","4,363,053,000","3,606,739,000"
EBIT,"3,100,285,000","6,571,849,000","8,853,645,000","8,023,629,000","5,833,822,000","4,669,798,000","6,040,195,000","7,259,533,000","6,857,787,000","6,700,177,000","5,166,174,000","4,280,419,000","3,529,552,000"
EBT,"1,503,086,000","5,722,857,000","8,289,312,000","7,699,168,000","5,633,450,000","4,537,855,000","5,906,565,000","5,593,404,000","5,646,740,000","6,017,511,000","4,846,309,000","4,280,419,000","3,529,552,000"
Tax,"494,792,000","1,762,251,000","2,632,963,000","2,400,000,000","1,804,865,000","1,251,471,000","1,579,801,000","1,686,870,000","1,526,425,000","1,761,000,000","1,252,000,000","1,198,000,000","888,000,000"
PAT,"1,008,294,000","3,960,606,000","5,656,349,000","5,299,168,000","3,828,585,000","3,286,384,000","4,326,764,000","3,906,534,000","4,120,315,000","4,256,511,000","3,594,309,000","3,082,419,000","2,641,552,000"
EPS,10.13,39.79,68.19,63.89,46.16,39.62,52.16,56.52,59.61,61.58,62.4,53.51,45.86
