Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Cash in Hand and Bank,"92,916,094","50,644,643","91,230,840","307,439,392","57,352,972","74,506,845","48,027,231","205,048,935","82,611,666","61,489,976","87,624,137","34,978,716","120,054,403"
Current Assets,"2,253,685,342","2,182,660,473","2,100,261,545","1,666,889,287","1,039,237,814","670,910,523","476,507,255","587,196,944","352,993,419","228,459,890","204,599,782","182,702,707","222,705,427"
Musharika & Morabaha finances-Assets,0,0,"967,729","6,769,730",0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,"36,031,718",0,0,0,0
Fixed Assets,"207,010,534","207,389,983","196,140,636","620,126,096","420,475,005","128,883,156","164,915,445","122,273,056","121,705,982","37,889,429","1,219,699,585","980,382,386","596,157,059"
Total Assets,"8,634,282,606","8,829,037,403","9,036,482,241","8,360,952,668","7,211,349,998","5,933,983,732","5,356,636,902","4,439,576,742","2,711,070,082","2,110,795,298","1,510,871,535","1,272,856,171","975,963,165"
Total Current Liabilities,"1,584,489,814","1,981,381,585","1,704,394,948","1,533,371,800","1,630,502,794","1,390,010,505","1,255,520,717","1,353,270,832","644,908,684","658,069,747","316,633,906","203,399,721","282,849,860"
Total Non Current Liabilities,"1,698,074,373","1,514,117,444","2,181,550,724","2,168,989,649","1,198,674,418","840,103,200","982,421,559","733,576,171","403,323,783","149,779,615","44,585,207","107,777,192","237,574,661"
Musharika & Morabaha finances-Liability,"1,771,584,782","2,414,602,187","3,043,988,105","2,837,804,499","1,900,620,385","1,702,004,402","1,729,190,390","1,168,801,562","526,468,831",0,0,0,0
Total Liabilities,"3,282,564,187","3,495,499,029","3,885,945,672","3,702,361,449","2,829,177,212","2,230,113,705","2,237,942,276","2,086,847,003","1,048,232,467","807,849,362","361,219,113","311,176,913","520,424,521"
Paid Up Capital,"2,200,000,000","2,200,000,000","2,000,000,000","1,755,000,000","1,755,000,000","1,462,500,000","1,218,750,000","975,000,000","750,000,000","600,000,000","600,000,000","600,000,000","300,000,000"
Reserves,"3,151,718,419","3,133,538,374","3,150,536,569","2,903,591,219","2,627,172,786","2,241,370,027","1,899,944,626","1,377,729,739","912,837,615","702,945,936","549,652,422","361,679,258","155,538,644"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"5,351,718,419","5,333,538,374","5,150,536,569","4,658,591,219","4,382,172,786","3,703,870,027","3,118,694,626","2,352,729,739","1,662,837,615","1,302,945,936","1,149,652,422","961,679,258","455,538,644"
Paid Up Value,10,10,10,0,10,10,10,10,10,10,10,10,10
Number of Shares,"220,000,000","220,000,000","200,000,000","175,500,000","175,500,000","146,250,000","121,875,000","97,500,000","75,000,000","60,000,000","60,000,000","60,000,000","30,000,000"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
