Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Operating Income,"3,431,380,539","3,821,667,063","3,696,144,922","3,116,267,315","2,686,893,227","2,699,426,305","2,542,211,151","2,139,199,199","1,543,918,953","1,033,739,293","829,397,089","633,334,541","457,798,860"
Other Income,"28,166,539","104,897,396","13,709,809","37,677,943","11,068,968","38,005,105","74,285,001","32,867,450","27,995,657","16,727,554","27,528,387","16,645,301","4,116,673"
Operating Expenses,"2,562,176,109","2,907,073,905","2,758,366,637","2,277,014,650","2,088,418,631","1,987,050,015","1,669,589,435","1,331,441,120","948,701,267","654,912,296","548,992,087","430,383,363","301,422,661"
Financial Charges,"300,215,794","288,372,592","246,740,581","169,421,582","139,728,138","209,240,054","165,752,412","94,773,321","45,442,461","34,639,881","20,947,024","43,455,865","32,916,556"
Other Expenses,"369,634,262","348,264,099","309,623,755","249,649,980","175,466,554","137,612,269","129,698,926","113,987,664","78,979,203","72,621,156","9,013,201",0,0
Change in Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
EBT,"227,520,913","382,853,863","395,123,758","457,859,046","294,348,872","403,529,072","651,455,379","631,864,544","498,791,679","288,293,514","277,973,164","176,140,614","127,576,316"
Tax,0,0,0,0,0,0,0,0,0,0,0,0,0
PAT,"227,520,913","382,853,863","395,123,758","457,859,046","294,348,872","403,529,072","651,455,379","631,864,544","498,791,679","288,293,514","277,973,164","176,140,614","127,576,316"
EPS,1.03,1.74,1.89,2.61,1.76,2.89,5.52,6.72,6.65,3.84,4.63,3.6,3.37
