Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"1,976,820,000","1,914,464,000","1,952,688,000","1,744,273,000","1,815,404,000","947,505,000","1,021,329,000","907,724,000","1,172,480,000","1,163,160,000","1,001,342,000","966,188,000","989,326,000"
Investments,0,0,0,0,0,"1,372,800,000",0,"200,000,000",0,0,0,0,0
Cash in Hand and Bank,"269,235,000","598,957,000","532,105,000","587,885,000","337,515,000","316,085,000","406,769,000","528,322,000","507,012,000","486,828,000","402,830,000","379,796,000","259,117,000"
Stores and Spares,"53,645,000","49,357,000","45,436,000","40,243,000","32,621,000","19,012,000","24,923,000","24,424,000","24,910,000","26,299,000","25,886,000","33,919,000","33,875,000"
Stock in Trade,"3,089,893,000","3,056,054,000","2,694,526,000","2,107,644,000","1,641,480,000","1,380,984,000","1,566,757,000","1,442,649,000","1,108,322,000","1,374,589,000","1,606,557,000","1,359,496,000","1,509,283,000"
Trade Debts,"2,788,159,000","3,916,346,000","3,733,326,000","3,165,832,000","2,755,252,000","2,148,600,000","2,030,655,000","1,859,659,000","2,030,479,000","1,393,752,000","1,451,338,000","1,778,557,000","1,604,921,000"
Current Assets,"7,798,704,000","9,541,052,000","8,999,754,000","7,995,376,000","6,857,347,000","5,741,078,000","5,679,159,000","5,545,530,000","5,831,424,000","4,219,914,000","4,335,575,000","3,976,465,000","3,700,768,000"
Quick Assets,"4,655,166,000","6,435,641,000","6,259,792,000","5,847,489,000","5,183,246,000","4,341,082,000","4,087,479,000","4,078,457,000","4,698,192,000","2,819,026,000","2,703,132,000","2,583,050,000","2,157,610,000"
Total Assets,"9,797,122,000","11,462,791,000","10,961,028,000","9,750,894,000","8,683,829,000","8,078,561,000","6,728,644,000","6,487,138,000","7,042,067,000","5,412,893,000","5,362,046,000","4,973,581,000","4,726,490,000"
Interest Bearing Long Term Liability,"399,547,000","90,572,000","92,070,000","82,273,000","51,069,000","37,311,000",0,0,0,"266,666,000","333,333,000","266,666,000","433,333,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"2,348,799,000","2,956,470,000","2,523,122,000","1,761,404,000","624,701,000","1,656,866,000","892,577,000",0,"1,605,315,000","582,649,000","823,438,000","1,143,458,000","1,560,823,000"
* Non Interest Bearing Short Term Liability,"2,136,242,000","3,109,556,000","3,333,539,000","2,722,712,000","2,320,026,000","1,863,859,000","1,565,716,000","1,549,218,000","1,655,307,000","1,387,391,000","1,445,040,000","1,214,608,000","742,648,000"
Trades Payables,"2,118,389,000","3,027,570,000","3,293,095,000","2,711,450,000","2,312,853,000","1,846,056,000","1,540,725,000","1,549,218,000","1,629,722,000","1,374,184,000","1,424,223,000","1,180,692,000","664,853,000"
Total Current Liabilities,"4,552,577,000","6,132,012,000","5,922,126,000","4,484,116,000","2,944,727,000","3,520,725,000","2,505,445,000","1,549,218,000","3,283,117,000","1,991,571,000","2,291,177,000","2,397,151,000","2,303,471,000"
Total Liabilities,"5,293,262,000","6,345,354,000","6,155,816,000","4,733,248,000","3,296,417,000","3,635,319,000","2,550,398,000","1,636,745,000","3,411,725,000","2,344,706,000","2,703,639,000","2,736,695,000","2,802,498,000"
Paid Up Capital,"341,179,000","341,179,000","341,179,000","341,179,000","341,179,000","341,179,000","341,179,000","341,179,000","341,179,000","341,179,000","272,943,000","272,943,000","272,943,000"
Reserves,"4,162,681,000","4,776,258,000","4,464,033,000","4,676,467,000","5,046,233,000","4,102,063,000","3,837,067,000","4,509,214,000","3,289,163,000","2,727,008,000","2,385,464,000","1,963,943,000","1,651,049,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"4,503,860,000","5,117,437,000","4,805,212,000","5,017,646,000","5,387,412,000","4,443,242,000","4,178,246,000","4,850,393,000","3,630,342,000","3,068,187,000","2,658,407,000","2,236,886,000","1,923,992,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"34,117,900","34,117,900","34,117,900","34,117,881","34,117,881","34,117,881","34,117,881","34,117,881","34,117,881","34,117,881","27,294,305","27,294,305","27,294,305"
