Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"15,038,941,000","17,353,050,000","14,290,089,000","12,242,715,000","11,350,227,000","8,475,323,000","6,872,277,000","7,480,119,000","7,126,413,000","5,787,363,000","8,383,872,000","7,697,030,000","7,061,056,000"
COGS,"10,834,222,000","12,006,899,000","10,345,397,000","8,377,749,000","7,680,189,000","6,061,251,000","4,945,833,000","5,235,862,000","5,107,884,000","4,388,698,000","6,475,658,000","5,895,796,000","5,259,191,000"
Gross Profit,"4,204,719,000","5,346,151,000","3,944,692,000","3,864,966,000","3,670,038,000","2,414,072,000","1,926,444,000","2,244,257,000","2,018,529,000","1,398,665,000","1,908,214,000","1,801,234,000","1,801,865,000"
Administrative Expenses,"560,070,000","507,625,000","498,733,000","490,662,000","325,988,000","225,609,000","123,907,000","182,477,000","126,095,000","110,601,000","170,227,000","153,043,000","127,904,000"
Selling & Distributive Expenses,"1,569,555,000","1,744,329,000","906,629,000","841,291,000","762,766,000","604,285,000","443,448,000","610,628,000","523,194,000","434,665,000","525,294,000","461,455,000","415,994,000"
Financial Charges,"439,244,000","680,270,000","429,939,000","135,483,000","128,319,000","125,627,000","7,378,000","175,437,000","182,997,000","156,537,000","196,987,000","302,944,000","494,340,000"
Other Income,"25,917,000","15,978,000","23,808,000","21,464,000","53,907,000","19,138,000","18,022,000","14,797,000","13,889,000","17,471,000","50,645,000","46,303,000","44,423,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"125,274,000","279,886,000","189,219,000","178,610,000","186,480,000","106,477,000","111,065,000","152,086,000","86,902,000","52,268,000","82,822,000","99,064,000","68,274,000"
EBITDA,"2,253,709,000","3,086,312,000","2,624,934,000","2,635,499,000","2,696,366,000","1,655,662,000","1,368,397,000","1,451,942,000","1,421,368,000","974,122,000","1,322,454,000","1,268,748,000","1,337,698,000"
EBIT,"1,975,737,000","2,830,289,000","2,373,919,000","2,375,867,000","2,448,711,000","1,496,839,000","1,266,046,000","1,313,863,000","1,296,227,000","818,602,000","1,180,516,000","1,133,975,000","1,234,116,000"
EBT,"1,536,493,000","2,150,019,000","1,943,980,000","2,240,384,000","2,320,392,000","1,371,212,000","1,258,668,000","1,138,426,000","1,113,230,000","662,065,000","983,529,000","831,031,000","739,776,000"
Tax,"367,227,000","427,639,000","407,704,000","618,911,000","600,361,000","317,909,000","205,260,000","-224,627,000","218,862,000","182,566,000","220,829,000","245,194,000","221,238,000"
PAT,"1,169,266,000","1,722,380,000","1,536,276,000","1,621,473,000","1,720,031,000","1,053,303,000","1,053,408,000","1,902,409,000","894,368,000","479,499,000","762,700,000","585,837,000","518,538,000"
EPS,34.27,50.48,45.03,47.53,50.41,30.87,30.88,55.83,34.47,22.81,27.94,21.46,19
