Year,2020,2019,2018,2017,2016,2015,2014
Fixed Assets,"5,049,519,000","4,987,659,000","4,731,490,000","3,368,189,000","2,581,434,386","1,131,403,735","1,062,347,125"
Investments,"19,049,000","94,268,000","56,290,000","56,266,000","271,592,784","35,700,000",0
Cash in Hand and Bank,"44,343,000","19,735,000","52,094,000","27,933,000","25,064,036","1,812,348,955","16,839,927"
Stores and Spares,"379,000","486,000","286,000","442,000","602,655","3,441,275","6,200,138"
Stock in Trade,"140,724,000","84,453,000","107,959,000","116,618,000","167,654,709","31,179,079","40,801,203"
Trade Debts,"1,985,426,000","1,480,172,000","1,211,970,000","1,212,651,000","1,096,688,030","527,345,804","501,530,517"
Current Assets,"2,952,292,000","2,292,297,000","2,356,482,000","2,215,225,000","2,205,523,510","3,140,338,635","765,349,698"
Quick Assets,"2,811,189,000","2,207,358,000","2,248,237,000","2,098,165,000","2,037,266,146","3,105,718,281","718,348,357"
Total Assets,"8,282,869,000","7,572,753,000","7,341,706,000","5,821,540,000","4,975,574,508","4,375,195,685","1,830,318,491"
Interest Bearing Long Term Liability,"710,843,000","590,780,000","708,077,000","400,414,000","29,551,867","36,072,965","105,208,340"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"1,288,767,000","1,427,776,000","1,302,557,000","40,416,000","33,188,576","77,684,637","36,124,996"
* Non Interest Bearing Short Term Liability,"859,447,000","805,376,000","855,727,000","1,542,441,000","1,059,993,020","1,279,579,860","700,004,908"
Trades Payables,"799,533,000","744,856,000","565,037,000","1,517,156,000","1,048,751,131","1,262,666,924","684,234,379"
Total Current Liabilities,"2,179,343,000","2,310,601,000","2,158,284,000","1,582,857,000","1,093,181,596","1,372,548,386","828,652,446"
Total Liabilities,"2,964,190,000","2,974,767,000","2,926,000,000","2,026,797,000","1,151,030,761","1,426,675,446","961,061,787"
Paid Up Capital,"1,999,593,000","1,421,175,000","1,421,175,000","1,421,175,000","1,235,803,710","665,410,160","260,015,000"
Reserves,"2,531,038,000","2,352,617,000","2,142,392,000","2,186,646,000","2,391,662,366","2,066,807,861","367,430,027"
Preferred Equity,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"788,049,000","824,194,000","852,139,000","186,922,000","197,077,671","216,302,218","241,811,677"
Shareholder Equity,"5,318,680,000","4,597,986,000","4,415,706,000","3,794,743,000","3,824,543,747","2,948,520,239","869,256,704"
Paid Up Value,10,10,10,10,10,10,10
Number of Shares,"199,959,300","142,117,500","142,117,500","142,117,427","123,580,371","66,541,016","26,001,500"
