Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Fixed Assets,"19,007,339,000","20,133,384,000","13,373,822,000","10,542,575,000","9,688,793,000","9,995,626,000","10,218,918,000","9,784,826,000","9,491,653,000","6,297,051,000"
Investments,0,0,0,0,0,0,0,"20,000,000",0,0
Cash in Hand and Bank,"182,561,000","208,648,000","45,565,000","861,392,000","44,716,000","132,273,000","59,845,000","205,860,000","37,283,000","938,540,000"
Stores and Spares,"678,756,000","379,561,000","112,006,000","96,298,000","180,743,000","163,383,000","159,046,000","145,175,000","137,089,000","92,238,000"
Stock in Trade,"7,916,499,000","6,919,983,000","4,312,261,000","3,715,962,000","76,998,000","2,433,460,000","3,347,294,000","2,323,306,000","489,519,000",0
Trade Debts,"162,714,000","598,537,000","105,243,000","152,075,000","386,731,000","76,261,000","192,499,000","191,020,000","138,854,000","238,186,000"
Current Assets,"13,283,055,000","11,164,196,000","6,059,527,000","6,225,023,000","4,468,463,000","4,167,303,000","5,271,580,000","3,864,437,000","1,155,131,000","1,306,252,000"
Quick Assets,"4,687,800,000","3,864,652,000","1,635,260,000","2,412,763,000","4,210,722,000","1,570,460,000","1,765,240,000","1,395,956,000","528,523,000","1,214,014,000"
Total Assets,"34,509,399,000","32,730,909,000","20,425,788,000","18,183,865,000","15,352,275,000","15,336,862,000","16,280,209,000","14,350,533,000","10,947,074,000","8,475,912,000"
Interest Bearing Long Term Liability,"9,360,157,000","7,208,492,000","4,882,000,000","5,036,661,000","5,324,439,000","5,604,654,000","5,488,817,000","5,085,207,000","5,923,407,000","4,989,617,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"9,996,717,000","14,623,153,000","5,552,771,000","2,686,553,000","4,372,923,000","3,889,212,000","3,384,019,000","3,923,014,000","563,065,000","101,907,000"
* Non Interest Bearing Short Term Liability,"6,947,491,000","2,087,943,000","1,448,375,000","3,719,302,000","2,968,605,000","3,009,286,000","4,858,829,000","3,075,409,000","1,456,940,000","532,291,000"
Trades Payables,"6,292,635,000","1,233,907,000","1,209,923,000","3,561,377,000","2,772,572,000","2,744,429,000","4,574,354,000","2,491,654,000","592,131,000","40,631,000"
Total Current Liabilities,"16,944,208,000","16,711,096,000","7,001,146,000","6,405,855,000","7,341,528,000","6,898,498,000","8,242,848,000","6,998,423,000","2,020,005,000","634,198,000"
Total Liabilities,"26,411,962,000","23,984,081,000","11,934,682,000","11,483,392,000","12,696,932,000","12,526,114,000","13,746,387,000","12,098,833,000","7,949,537,000","5,626,586,000"
Paid Up Capital,"7,655,293,000","7,655,293,000","8,322,979,000","6,856,039,000","2,717,357,000","2,711,327,000","2,709,556,000","3,438,201,000","3,438,201,000","3,200,336,000"
Reserves,"-1,475,960,000","-892,297,000","-1,861,869,000","-1,853,085,000","-2,883,779,000","-2,737,365,000","-1,296,055,000","-1,186,501,000","-440,664,000","-351,010,000"
Preferred Equity,"472,272,000","472,272,000","472,272,000","472,892,000","2,439,944,000","2,445,974,000","728,645,000","734,028,000","758,201,000","754,630,000"
Surplus On Revaluation of Assets,"1,445,832,000","1,511,560,000","1,557,724,000","1,224,627,000","381,821,000","390,812,000","391,676,000",0,0,0
Shareholder Equity,"8,097,437,000","8,746,828,000","8,491,106,000","6,700,473,000","2,655,343,000","2,810,748,000","2,533,822,000","2,251,700,000","2,997,537,000","2,849,326,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10
Number of Shares,"765,529,300","765,529,300","832,297,900","685,603,943","271,735,676","271,132,663","270,955,590","270,417,299","268,000,000","268,000,000"
