Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"4,139,386,000","3,924,958,000","3,591,257,000","3,158,027,000","2,672,742,000","1,994,955,000","1,416,705,000","1,155,854,000","1,127,859,000","900,503,000","756,339,000","635,294,000"
Investments,"138,268,000","127,055,000","861,921,000","2,464,851,000","1,558,861,000","918,737,000","824,925,000","711,544,000","436,291,000","204,863,000","26,224,000","6,132,000"
Cash in Hand and Bank,"45,507,000","423,649,000","381,180,000","14,873,000","45,257,000","78,318,000","6,089,000","33,055,000","48,191,000","93,952,000","29,869,000","28,892,000"
Stores and Spares,"215,326,000","225,331,000","218,914,000","191,896,000","182,314,000","110,788,000","88,665,000","57,818,000","43,594,000","30,933,000","22,413,000","14,122,000"
Stock in Trade,"1,999,313,000","1,760,092,000","2,689,010,000","1,706,859,000","1,889,810,000","1,608,783,000","2,551,256,000","1,477,258,000","811,490,000","717,004,000","531,597,000","434,594,000"
Trade Debts,"692,998,000","1,096,449,000","1,754,311,000","364,642,000","119,477,000","131,810,000","142,345,000","79,987,000","112,423,000","89,625,000","100,396,000","88,521,000"
Current Assets,"3,679,988,000","4,265,230,000","6,521,834,000","5,119,645,000","4,012,613,000","3,377,537,000","3,894,029,000","2,468,341,000","1,496,313,000","1,172,913,000","756,814,000","588,698,000"
Quick Assets,"1,465,349,000","2,279,807,000","3,613,910,000","3,220,890,000","1,940,489,000","1,657,966,000","1,254,108,000","933,265,000","641,229,000","424,976,000","202,804,000","139,982,000"
Total Assets,"7,840,106,000","8,211,918,000","10,136,253,000","8,297,219,000","6,706,037,000","5,398,115,000","5,326,994,000","3,637,143,000","2,631,723,000","2,080,667,000","1,513,940,000","1,226,431,000"
Interest Bearing Long Term Liability,"910,082,000",0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,"719,000","605,000",0,0
Interest Bearing Short Term Liability,"207,954,000","1,408,152,000","2,459,687,000","882,770,000","735,989,000","709,763,000","1,622,491,000","616,691,000","415,209,000","434,698,000","174,598,000","103,616,000"
* Non Interest Bearing Short Term Liability,"1,230,634,000","1,081,265,000","1,663,312,000","1,335,533,000","1,197,574,000","918,637,000","880,076,000","792,575,000","502,271,000","362,096,000","370,156,000","330,929,000"
Trades Payables,"1,195,743,000","1,037,880,000","1,643,053,000","1,330,910,000","1,193,182,000","910,253,000","860,347,000","781,465,000","494,461,000","356,874,000","368,911,000","329,326,000"
Total Current Liabilities,"1,662,393,000","2,614,984,000","4,157,721,000","2,283,573,000","1,951,620,000","1,715,047,000","2,557,886,000","1,462,754,000","938,546,000","813,725,000","544,754,000","435,472,000"
Total Liabilities,"2,885,302,000","2,930,909,000","4,481,562,000","2,618,373,000","2,233,859,000","1,983,454,000","2,768,642,000","1,662,010,000","1,117,871,000","952,136,000","656,000,000","521,099,000"
Paid Up Capital,"243,597,000","243,597,000","173,998,000","173,998,000","173,998,000","173,998,000","173,998,000","144,998,000","120,832,000","100,693,000","83,911,000","69,926,000"
Reserves,"4,122,021,000","4,448,226,000","5,286,807,000","5,310,962,000","4,104,294,000","3,046,777,000","2,210,568,000","1,656,349,000","1,219,234,000","854,052,000","600,243,000","461,620,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"589,186,000","589,186,000","193,886,000","193,886,000","193,886,000","193,886,000","173,786,000","173,786,000","173,786,000","173,786,000","173,786,000","173,786,000"
Shareholder Equity,"4,954,804,000","5,281,009,000","5,654,691,000","5,678,846,000","4,472,178,000","3,414,661,000","2,558,352,000","1,975,133,000","1,513,852,000","1,128,531,000","857,940,000","705,332,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"24,359,700","24,359,700","17,399,800","17,399,769","17,399,769","17,399,769","17,399,769","14,499,808","12,083,174","10,069,312","8,391,094","6,992,579"
