Year,2020,2019,2018,2017,2016,2015,2013,2012,2011,2010,2009
Operating Cash Flow,"519,380,000","437,193,000","-1,458,876,000","1,525,082,000","1,600,463,000","1,898,513,000","253,691,000","606,775,000","280,876,000","190,487,000","406,363,000"
Captial Expenditure,"163,505,000","-72,312,000","741,195,000","760,719,000","887,514,000","717,036,000","148,900,000","123,888,000","188,387,000","174,964,000","160,104,000"
Cashflow from Investing,"-159,104,000","827,681,000","848,334,000","-1,437,598,000","-1,455,121,000","-742,731,000","-352,630,000","-533,888,000","-394,042,000","-191,437,000","-165,688,000"
Cash Flow from Financing,"-738,418,000","-1,222,405,000","976,849,000","-117,868,000","-178,403,000","-1,083,553,000","83,803,000","-118,648,000","177,249,000","1,927,000","-261,057,000"
Net Change,"-378,142,000","42,469,000","366,307,000","-30,384,000","-33,061,000","72,229,000","-15,136,000","-45,761,000","64,083,000","977,000","-20,382,000"
Opening Cash,"423,649,000","381,180,000","14,873,000","45,257,000","78,318,000","6,089,000","48,191,000","93,952,000","29,869,000","28,892,000","49,274,000"
Closing Cash,"45,507,000","423,649,000","381,180,000","14,873,000","45,257,000","78,318,000","33,055,000","48,191,000","93,952,000","29,869,000","28,892,000"
FCFF,"355,875,000","509,505,000","-2,200,071,000","764,363,000","712,949,000","1,181,477,000","104,791,000","482,887,000","92,489,000","15,523,000","246,259,000"
FCFE,"-382,543,000","-712,900,000","-1,223,222,000","646,495,000","534,546,000","97,924,000","188,594,000","364,239,000","269,738,000","17,450,000","-14,798,000"
