Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"12,546,152,000","12,773,113,000","18,332,861,000","17,169,908,000","14,019,507,000","15,961,413,000","12,242,719,000","8,875,114,000","7,217,116,000","5,868,260,000","4,024,422,000","3,156,807,000"
COGS,"11,667,365,000","12,506,602,000","16,330,483,000","14,205,436,000","11,272,034,000","13,583,708,000","10,621,161,000","7,559,947,000","6,049,434,000","5,007,421,000","3,433,222,000","2,626,740,000"
Gross Profit,"878,787,000","266,511,000","2,002,378,000","2,964,472,000","2,747,473,000","2,377,705,000","1,621,558,000","1,315,167,000","1,167,682,000","860,839,000","591,200,000","530,067,000"
Administrative Expenses,"181,626,000","221,352,000","245,055,000","305,430,000","287,940,000","246,501,000","189,754,000","191,175,000","151,495,000","99,679,000","80,548,000","70,549,000"
Selling & Distributive Expenses,"487,020,000","598,645,000","721,325,000","606,223,000","438,088,000","449,347,000","292,373,000","235,476,000","186,367,000","165,053,000","128,861,000","124,359,000"
Financial Charges,"348,496,000","213,222,000","117,845,000","68,170,000","71,875,000","146,675,000","126,025,000","59,946,000","69,896,000","37,515,000","19,857,000","43,537,000"
Other Income,"32,601,000","385,464,000","73,988,000","254,361,000","95,577,000","91,526,000","109,221,000","86,309,000","37,035,000","12,265,000","5,258,000","2,149,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"38,261,000","43,546,000","160,045,000","173,813,000","176,961,000","145,997,000","99,859,000","91,981,000","107,310,000","45,756,000","25,903,000","20,891,000"
EBITDA,"571,715,000","105,637,000","1,245,256,000","2,395,575,000","2,149,890,000","1,788,701,000","1,281,405,000","991,875,000","856,054,000","636,718,000","415,372,000","359,499,000"
EBIT,"204,481,000","-211,568,000","949,941,000","2,133,367,000","1,940,061,000","1,627,386,000","1,148,793,000","882,844,000","759,545,000","562,616,000","361,146,000","316,417,000"
EBT,"-144,015,000","-424,790,000","832,096,000","2,065,197,000","1,868,186,000","1,480,711,000","1,022,768,000","822,898,000","689,649,000","525,101,000","341,289,000","272,880,000"
Tax,"183,084,000","167,673,000","241,502,000","588,571,000","597,359,000","466,787,000","281,618,000","240,785,000","203,635,000","170,599,000","118,755,000","95,202,000"
PAT,"-327,099,000","-592,463,000","590,594,000","1,476,626,000","1,270,827,000","1,013,924,000","741,150,000","582,113,000","486,014,000","354,502,000","222,534,000","177,678,000"
EPS,-13.43,-24.32,33.94,84.86,73.04,58.27,42.6,40.15,40.22,29.34,26.52,21.17
