Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"42,403,818,000","30,999,477,000","33,239,759,000","35,356,797,000","34,881,741,000","31,571,315,000","16,858,659,000","10,034,549,000","9,840,295,000","9,670,966,000","2,868,001,000","2,916,214,000","2,929,652,000"
Investments,"13,264,915,000",0,"14,250,761,000","13,264,915,000","13,264,915,000","13,264,915,000","13,264,915,000","13,264,915,000","13,264,915,000","13,264,915,000","13,264,915,000","13,244,120,000","13,135,579,000"
Cash in Hand and Bank,"8,122,982,000","16,583,594,000","21,954,514,000","21,630,109,000","9,683,198,000","10,694,590,000","11,266,916,000","11,004,968,000","9,843,667,000","3,864,276,000","3,968,419,000","6,802,306,000","18,944,632,000"
Stores and Spares,"4,431,073,000","3,575,963,000","2,905,748,000","2,193,275,000","1,815,409,000","2,008,565,000","786,536,000","688,132,000","673,854,000","619,923,000","581,044,000","573,204,000","542,500,000"
Stock in Trade,"7,163,855,000","10,018,655,000","9,788,997,000","5,712,344,000","6,707,642,000","6,574,133,000","11,555,708,000","11,744,810,000","10,650,686,000","10,872,576,000","7,178,852,000","4,868,976,000","4,844,853,000"
Trade Debts,"12,728,442,000","22,411,912,000","15,748,278,000","10,678,545,000","6,889,427,000","15,653,740,000","13,239,273,000","17,499,313,000","49,115,758,000","25,053,677,000","30,430,263,000","15,508,763,000","9,207,238,000"
Current Assets,"35,434,815,000","54,888,328,000","53,255,100,000","42,056,561,000","26,713,706,000","35,170,288,000","37,122,361,000","41,265,653,000","70,504,675,000","40,588,659,000","42,284,524,000","28,130,383,000","33,783,918,000"
Quick Assets,"23,839,887,000","41,293,710,000","40,560,355,000","34,150,942,000","18,190,655,000","26,587,590,000","24,780,117,000","28,832,711,000","59,180,135,000","29,096,160,000","34,524,628,000","22,688,203,000","28,396,565,000"
Total Assets,"97,987,194,000","103,849,654,000","101,106,041,000","91,206,900,000","75,619,190,000","80,503,413,000","67,500,308,000","64,634,802,000","93,714,906,000","63,694,437,000","58,588,832,000","44,487,543,000","50,081,183,000"
Interest Bearing Long Term Liability,"7,720,935,000","7,981,422,000","12,642,916,000","17,672,166,000","14,613,682,000","11,108,993,000","480,692,000",0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"214,899,000","2,200,000,000","2,200,000,000","2,200,000,000","550,000,000","550,000,000",0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"43,386,472,000","57,519,722,000","44,771,184,000","28,513,937,000","23,310,185,000","32,152,176,000","30,211,256,000","31,443,587,000","65,431,991,000","38,885,535,000","44,202,697,000","30,311,409,000","36,688,922,000"
Trades Payables,"43,181,953,000","57,248,556,000","44,510,275,000","28,175,711,000","23,043,629,000","32,152,176,000","30,211,256,000","31,443,587,000","65,431,991,000","38,885,535,000","44,202,697,000","30,311,409,000","36,688,922,000"
Total Current Liabilities,"46,363,168,000","62,210,138,000","49,144,865,000","34,153,917,000","27,815,945,000","36,568,272,000","35,861,581,000","37,803,696,000","70,074,465,000","42,331,755,000","46,251,953,000","32,296,945,000","38,361,964,000"
Total Liabilities,"54,084,103,000","70,191,560,000","61,787,781,000","51,826,083,000","42,429,627,000","47,677,265,000","36,342,273,000","37,803,696,000","70,074,465,000","42,490,156,000","46,391,975,000","32,417,075,000","38,458,853,000"
Paid Up Capital,"1,066,163,000","1,066,163,000","852,930,000","852,930,000","852,930,000","852,930,000","852,930,000","852,930,000","852,930,000","852,930,000","852,930,000","852,930,000","710,775,000"
Reserves,"17,743,509,000","20,539,355,000","26,412,754,000","26,475,311,000","21,524,684,000","21,161,269,000","19,493,156,000","17,232,959,000","14,042,294,000","11,606,134,000","9,420,588,000","9,294,199,000","8,988,216,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"25,093,419,000","12,052,576,000","12,052,576,000","12,052,576,000","10,811,949,000","10,811,949,000","10,811,949,000","8,745,217,000","8,745,217,000","8,745,217,000","1,923,339,000","1,923,339,000","1,923,339,000"
Shareholder Equity,"43,903,091,000","33,658,094,000","39,318,260,000","39,380,817,000","33,189,563,000","32,826,148,000","31,158,035,000","26,831,106,000","23,640,441,000","21,204,281,000","12,196,857,000","12,070,468,000","11,622,330,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"106,616,300","106,616,300","85,293,000","85,293,000","85,293,000","85,293,000","85,293,000","85,293,000","85,293,000","85,293,000","85,293,000","85,293,000","71,077,500"
