Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"119,819,440,000","176,754,542,000","129,596,565,000","101,411,792,000","66,564,924,000","128,905,431,000","175,067,853,000","163,300,532,000","154,381,558,000","116,397,374,000","88,184,026,000","77,260,500,000","93,654,305,000"
COGS,"124,999,908,000","180,815,670,000","130,675,227,000","97,078,919,000","67,466,755,000","128,352,371,000","174,930,908,000","160,271,234,000","152,362,204,000","114,839,853,000","88,693,686,000","75,342,096,000","89,646,373,000"
Gross Profit,"-5,180,468,000","-4,061,128,000","-1,078,662,000","4,332,873,000","-901,831,000","553,060,000","136,945,000","3,029,298,000","2,019,354,000","1,557,521,000","-509,660,000","1,918,404,000","4,007,932,000"
Administrative Expenses,"808,978,000","688,462,000","645,120,000","595,023,000","520,546,000","492,554,000","425,900,000","360,655,000","340,013,000","262,630,000","245,291,000","222,822,000","199,336,000"
Selling & Distributive Expenses,"48,028,000","52,019,000","50,156,000","49,047,000","50,538,000","46,483,000","43,531,000","41,162,000","37,615,000","28,337,000","24,834,000","20,809,000","19,140,000"
Financial Charges,"1,063,548,000","6,623,676,000","2,925,299,000","1,263,141,000","156,881,000","413,347,000","1,754,000","548,555,000","994,739,000","45,408,000","308,797,000","1,471,525,000","1,244,373,000"
Other Income,"2,987,654,000","3,795,170,000","3,569,013,000","3,148,551,000","927,384,000","1,447,874,000","3,611,308,000","3,082,103,000","2,388,774,000","2,840,283,000","1,697,892,000","1,729,535,000","4,718,055,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"13,111,000","5,851,000","-106,271,000","202,660,000","5,800,000","81,940,000","102,855,000","405,959,000","264,533,000","500,760,000","117,643,000","175,828,000","235,711,000"
EBITDA,"-466,826,000","1,568,673,000","4,470,640,000","8,701,847,000","-398,942,000","1,522,237,000","1,448,427,000","5,415,957,000","3,878,562,000","3,713,608,000","923,358,000","3,355,323,000","8,663,306,000"
EBIT,"-3,062,931,000","-1,012,290,000","1,901,346,000","6,634,694,000","-551,331,000","1,379,957,000","1,328,843,000","5,303,625,000","3,765,967,000","3,606,077,000","800,464,000","3,228,480,000","8,271,800,000"
EBT,"-4,126,479,000","-7,635,966,000","-1,023,953,000","5,371,553,000","-708,212,000","966,610,000","1,327,089,000","4,755,070,000","2,771,228,000","3,560,669,000","491,667,000","1,756,955,000","7,027,427,000"
Tax,"-1,301,553,000","-2,250,727,000","-1,602,931,000","-42,111,000","-4,819,000","-561,808,000",0,"2,137,508,000","1,625,183,000","1,375,123,000","365,278,000","740,197,000","879,653,000"
PAT,"-2,824,926,000","-5,385,239,000","578,978,000","5,413,664,000","816,350,000","1,814,257,000","2,543,401,000","3,915,656,000","2,734,686,000","2,185,546,000","126,389,000","1,016,758,000","6,147,774,000"
EPS,-26.5,-50.51,6.79,63.47,9.57,21.27,29.82,45.91,32.07,25.63,1.48,11.92,72.08
