Year,2019,2018,2017,2016,2015,2014,2013,2012
Fixed Assets,"364,620,000","325,904,000","274,202,000","230,232,000","225,280,000","199,700,583","185,473,715","157,400,184"
Investments,"2,675,314,000","483,374,000","473,671,000","473,671,000","478,671,000","568,237,033","507,411,866","477,117,870"
Cash in Hand and Bank,"17,675,000","17,391,000","54,846,000","15,881,000","44,076,000","11,851,145","330,061,351","189,485,082"
Stores and Spares,0,0,0,0,0,0,0,0
Stock in Trade,"52,733,000","48,871,000","47,953,000","48,416,000","55,454,000","48,465,223","49,331,509","53,629,475"
Trade Debts,"300,205,000","1,763,595,000","1,622,192,000","1,214,804,000","924,407,000","794,960,223","484,405,136","430,050,818"
Current Assets,"1,418,792,000","2,867,565,000","2,657,120,000","2,231,950,000","2,000,107,000","1,782,792,030","1,572,449,461","1,076,000,072"
Quick Assets,"1,366,059,000","2,818,694,000","2,609,167,000","2,183,534,000","1,944,653,000","1,734,326,807","1,523,117,952","1,022,370,597"
Total Assets,"4,733,681,000","3,694,721,000","3,423,188,000","2,952,827,000","2,714,355,000","2,467,201,589","2,240,761,187","1,714,901,366"
Interest Bearing Long Term Liability,"28,726,000","59,275,000","72,214,000","44,567,000","34,015,000","29,315,989","33,813,736","43,469,609"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"408,173,000","273,412,000","265,101,000","221,299,000","126,188,000","16,051,776","89,124,957","87,036,872"
* Non Interest Bearing Short Term Liability,"421,531,000","209,131,000","553,962,000","539,761,000","533,473,000","467,859,642","499,821,844","692,060,108"
Trades Payables,"421,531,000","209,131,000","553,962,000","539,761,000","533,473,000","467,859,642","499,821,844","692,060,108"
Total Current Liabilities,"1,157,231,000","783,799,000","819,063,000","761,060,000","659,661,000","483,911,418","853,189,801","779,096,980"
Total Liabilities,"1,185,957,000","869,016,000","903,272,000","841,897,000","714,438,000","531,387,345","902,521,163","831,302,880"
Paid Up Capital,"1,925,364,000","1,363,238,000","1,321,211,000","1,056,969,000","1,056,969,000","1,056,965,340","755,000,000","400,000,000"
Reserves,"1,412,639,000","1,294,552,000","1,052,589,000","941,500,000","832,564,000","788,553,642","498,974,085","414,645,753"
Preferred Equity,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"209,721,000","167,915,000","146,115,000","112,461,000","110,384,000","90,295,262","84,265,939","68,952,733"
Shareholder Equity,"3,547,724,000","2,825,705,000","2,519,915,000","2,110,930,000","1,999,917,000","1,935,814,244","1,338,240,024","883,598,486"
Paid Up Value,10,10,10,10,10,10,10,10
Number of Shares,"192,536,400","136,323,800","132,121,100","105,696,903","105,696,804","105,696,534","75,500,000","40,000,000"
