Year,2019,2018,2017,2016,2015,2014,2013,2012
Payout,0.00,0.00,64.33,33.77,75.25,53.09,34.43,0.00
Plow Back,100.00,100.00,35.67,66.23,24.75,46.91,65.57,100.00
Return on Equity,18.43,20.45,18.34,14.83,14.05,23.14,32.77,57.64
Return on Assets,13.81,15.64,13.50,10.60,10.35,18.16,19.57,29.70
Book Value per Share,18.43,20.73,19.07,19.97,18.92,18.31,17.73,22.09
Earning Per Share,3.31,4.24,3.50,2.96,2.55,4.57,5.81,6.75
Net Working Capital to Total Asseets,0.06,0.56,0.54,0.50,0.49,0.53,0.32,0.17
Current Ratio,1.23,3.66,3.24,2.93,3.03,3.68,1.84,1.38
Acid Test,1.18,3.60,3.19,2.87,2.95,3.58,1.79,1.31
Times Interest Earned,12.07,20.37,16.22,21.32,31.02,56.69,28.55,17.62
Total Debt Ratio,0.25,0.24,0.26,0.29,0.26,0.22,0.40,0.48
Debt To Equity,0.33,0.31,0.36,0.40,0.36,0.27,0.67,0.94
Return on Capital Employed,0.21,0.23,0.20,0.18,0.16,0.25,0.35,0.61
Average Collection Period,81.75,496.32,469.70,491.03,403.38,268.89,159.45,142.84
Days sales Inventory,24.03,21.62,22.47,33.13,40.91,30.60,24.05,30.36
Total Assets Turnover,0.28,0.35,0.37,0.31,0.31,0.44,0.49,0.64
Gross Profit Margin,40.24,36.39,38.20,40.92,40.84,46.42,32.49,41.34
Net Profit Margin,48.78,44.55,36.66,34.67,33.59,41.51,39.55,46.35
