Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Markup Interest Earned,"92,615,890,000","92,480,855,000","59,318,342,000","56,919,089,000","57,244,690,000","61,458,407,000","55,378,477,000","46,961,060,000","46,079,918,000","44,298,178,000","37,530,256,000","35,561,312,000","30,966,638,000"
Markup Expense,"47,911,316,000","47,623,373,000","27,727,287,000","27,638,502,000","28,474,468,000","32,810,722,000","33,505,003,000","27,066,229,000","27,500,056,000","25,687,485,000","23,855,448,000","24,654,180,000","20,494,355,000"
Net Income Before Provision,"25,467,591,000","25,410,426,000","17,426,138,000","29,280,587,000","28,770,222,000","28,647,685,000","21,873,474,000","19,894,831,000","18,579,862,000","18,610,693,000","13,674,808,000","10,907,132,000","10,472,283,000"
Net Income After Provision,"17,878,322,000","22,381,841,000","16,837,755,000","29,540,336,000","27,586,950,000","26,360,785,000","20,339,641,000","15,841,183,000","15,021,330,000","14,281,193,000","9,414,425,000","6,835,605,000","6,928,926,000"
Non Markup Income,"12,794,862,000","10,395,553,000","10,200,358,000","9,893,992,000","8,868,013,000","8,841,020,000","9,036,441,000","8,278,694,000","7,281,340,000","5,367,713,000","4,708,161,000","5,182,253,000","4,822,924,000"
Revenue,"105,410,752,000","102,876,408,000","69,518,700,000","66,813,081,000","66,112,703,000","70,299,427,000","64,414,918,000","55,239,754,000","53,361,258,000","49,665,891,000","42,238,417,000","40,743,565,000","35,789,562,000"
Non Markup Expense,"32,031,845,000","29,842,609,000","24,365,275,000","25,389,343,000","23,431,804,000","22,597,735,000","20,862,516,000","17,312,666,000","15,519,468,000","14,215,188,000","12,753,841,000","11,001,542,000","9,957,130,000"
EBT,"17,878,322,000","22,381,841,000","16,837,755,000","14,044,985,000","13,023,159,000","12,604,070,000","8,513,566,000","6,807,211,000","6,783,202,000","5,433,718,000","1,368,745,000","1,016,316,000","1,794,720,000"
Tax,"7,403,412,000","9,686,324,000","6,687,487,000","5,677,690,000","5,123,251,000","5,081,260,000","2,872,715,000","2,131,261,000","2,227,081,000","1,930,588,000","400,293,000","119,281,000","493,419,000"
PAT,"10,474,910,000","12,695,517,000","10,150,268,000","8,367,295,000","7,899,908,000","7,522,810,000","5,640,851,000","4,675,950,000","4,556,121,000","3,503,130,000","968,452,000","897,035,000","1,301,301,000"
EPS,5.89,7.15,5.99,5.21,4.96,4.73,4.09,3.47,3.38,2.6,0.72,0.71,1.41
