Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Markup Interest Earned,"125,272,587,000","105,601,725,000","60,733,138,000","50,304,905,000","47,804,368,000","50,293,226,000","44,001,196,000","37,255,749,000","41,467,868,000","36,502,763,000","27,475,443,000","22,120,105,000","14,586,841,000"
Markup Expense,"67,652,611,000","64,415,666,000","29,839,393,000","24,386,577,000","23,132,808,000","25,476,349,000","24,936,885,000","22,994,393,000","26,105,660,000","22,373,903,000","16,678,554,000","13,053,137,000","8,004,294,000"
Net Income Before Provision,"33,124,493,000","22,405,990,000","30,893,745,000","25,918,328,000","24,671,560,000","24,816,877,000","19,064,311,000","14,261,356,000","15,362,208,000","14,128,860,000","10,796,889,000","9,066,968,000","6,582,547,000"
Net Income After Provision,"28,581,064,000","19,010,995,000","30,646,568,000","26,033,650,000","25,309,609,000","22,856,572,000","18,511,322,000","13,781,565,000","14,896,107,000","12,308,072,000","9,850,593,000","7,883,942,000","5,433,202,000"
Non Markup Income,"10,272,850,000","9,480,871,000","7,117,233,000","8,201,160,000","5,052,248,000","4,510,866,000","3,807,692,000","3,907,968,000","2,967,342,000","2,593,995,000","2,129,546,000","1,836,082,000","2,454,023,000"
Revenue,"135,545,437,000","115,082,596,000","67,850,371,000","58,506,065,000","52,856,616,000","54,804,092,000","47,808,888,000","41,163,717,000","44,435,210,000","39,096,758,000","29,604,989,000","23,956,187,000","17,040,864,000"
Non Markup Expense,"34,768,333,000","28,260,940,000","23,500,134,000","20,194,488,000","17,197,870,000","15,035,779,000","12,401,900,000","10,176,558,000","8,993,952,000","7,746,728,000","6,323,928,000","5,207,953,000","4,308,693,000"
EBT,"28,581,064,000","19,010,995,000","14,263,667,000","14,040,322,000","13,163,987,000","12,331,659,000","9,917,114,000","7,512,975,000","8,869,497,000","7,155,339,000","5,656,211,000","4,512,071,000","3,578,532,000"
Tax,"10,769,528,000","7,842,259,000","5,846,011,000","5,390,752,000","5,044,758,000","4,926,747,000","3,568,172,000","2,358,426,000","3,422,983,000","2,621,859,000","2,054,050,000","1,655,777,000","1,153,516,000"
PAT,"17,811,536,000","11,168,736,000","8,417,656,000","8,649,570,000","8,119,229,000","7,404,912,000","6,348,942,000","5,154,549,000","5,446,514,000","4,533,480,000","3,602,161,000","2,856,294,000","2,425,016,000"
EPS,16.03,10.05,7.57,7.78,7.31,6.66,5.71,5.1,5.39,5.16,4.92,4.68,3.97
