Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Sales,"17,424,894,000","16,795,231,000","15,496,810,000","15,082,171,000","14,781,520,000","13,767,156,000","12,774,438,000","11,476,817,000","9,816,296,000","8,329,829,000","6,428,490,000","5,106,578,000","3,964,187,000","2,989,474,000","2,543,344,000","2,279,556,000","2,225,171,000"
COGS,"9,554,950,000","9,269,358,000","8,875,974,000","8,888,245,000","8,776,323,000","8,388,033,000","7,780,325,000","7,218,046,000","6,275,619,000","4,997,901,000","3,756,277,000","2,942,432,000","2,327,134,000","1,876,653,000","1,605,938,000","1,443,722,000","1,457,653,000"
Gross Profit,"7,869,944,000","7,525,873,000","6,620,836,000","6,193,926,000","6,005,197,000","5,379,123,000","4,994,113,000","4,258,771,000","3,540,677,000","3,331,928,000","2,672,213,000","2,164,146,000","1,637,053,000","1,112,821,000","937,406,000","835,834,000","767,518,000"
Administrative Expenses,"1,124,464,000","1,101,934,000","979,398,000","959,975,000","936,629,000","877,256,000","817,317,000","701,593,000","599,158,000","468,339,000","403,640,000","334,398,000","271,617,000","223,391,000","210,654,000","190,186,000","170,163,000"
Selling & Distributive Expenses,"4,304,357,000","3,951,287,000","3,312,220,000","3,030,729,000","2,852,455,000","2,604,190,000","2,374,414,000","2,055,701,000","1,831,314,000","1,597,220,000","1,367,249,000","1,048,173,000","793,524,000","626,844,000","542,283,000","462,070,000","425,029,000"
Financial Charges,"790,200,000","42,038,000","39,888,000","39,935,000","30,504,000","31,405,000","26,515,000","53,449,000","51,206,000","39,735,000","35,183,000","27,273,000","23,394,000","33,151,000","40,087,000","19,877,000","26,350,000"
Other Income,"30,944,000","45,903,000","67,453,000","107,461,000","91,348,000","163,316,000","85,635,000","56,744,000","42,546,000","55,047,000","12,638,000","13,108,000","5,195,000","7,215,000","2,784,000","28,807,000","2,136,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"177,588,000","210,615,000","176,513,000","170,103,000","175,677,000","141,672,000","147,114,000","119,186,000","76,537,000","92,660,000","65,757,000","103,588,000","49,714,000","69,830,000","18,631,000","14,311,000","11,021,000"
EBITDA,"3,677,277,000","2,535,937,000","2,429,229,000","2,347,736,000","2,341,126,000","2,091,506,000","1,878,535,000","1,557,888,000","1,178,253,000","1,316,860,000","930,475,000","757,229,000","577,359,000","240,273,000","209,573,000","228,642,000","192,110,000"
EBIT,"2,294,479,000","2,307,940,000","2,220,158,000","2,140,580,000","2,131,784,000","1,919,321,000","1,740,903,000","1,439,035,000","1,076,214,000","1,228,756,000","848,205,000","691,095,000","527,393,000","199,971,000","168,622,000","198,074,000","163,441,000"
EBT,"1,504,279,000","2,265,902,000","2,180,270,000","2,100,645,000","2,101,280,000","1,887,916,000","1,714,388,000","1,385,586,000","1,025,008,000","1,189,021,000","813,022,000","663,822,000","503,999,000","166,820,000","128,535,000","178,197,000","137,091,000"
Tax,"415,417,000","764,493,000","655,804,000","658,629,000","7,099,000","548,504,000","481,966,000","364,785,000","276,838,000","317,728,000","227,510,000","186,047,000","145,362,000","57,199,000","44,619,000","56,325,000","48,590,000"
PAT,"1,088,862,000","1,501,409,000","1,524,466,000","1,442,016,000","1,438,401,000","1,339,412,000","1,232,422,000","1,020,801,000","748,170,000","871,293,000","585,512,000","477,775,000","358,637,000","109,621,000","83,916,000","121,872,000","88,501,000"
EPS,144.03,198.6,201.65,190.74,191.2,177.17,163.02,135.03,98.96,115.25,77.45,63.2,47.44,14.5,11.1,16.12,11.71
