Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Payout,104.14,75.53,69.43,65.53,50.46,43.46,61.34,17.03,20.21,24.30,15.49,12.66,16.86,34.48,36.04,27.91,34.17
Plow Back,-4.14,24.47,30.57,34.47,49.54,56.54,38.66,82.97,79.79,75.70,84.51,87.34,83.14,65.52,63.96,72.08,65.83
Return on Equity,14.63,20.04,21.39,21.64,23.77,25.49,27.38,26.04,22.82,31.78,29.86,33.28,36.86,15.71,13.57,22.34,19.82
Return on Assets,6.86,14.04,16.01,15.87,17.46,18.12,19.29,18.11,16.17,20.86,19.12,20.98,19.15,7.75,6.15,9.56,6.87
Book Value per Share,984.73,990.92,942.69,881.30,800.42,695.16,595.32,518.60,433.57,362.61,259.36,189.91,128.71,92.27,81.77,72.17,59.05
Earning Per Share,144.03,198.60,201.65,190.74,191.20,177.17,163.02,135.03,98.96,115.25,77.45,63.20,47.44,14.50,11.10,16.12,11.71
Net Working Capital to Total Asseets,0.31,0.55,0.60,0.59,0.57,0.53,0.54,0.56,0.56,0.52,0.47,0.40,0.31,0.27,0.26,0.25,0.17
Current Ratio,2.14,2.94,3.55,3.35,3.30,2.99,2.98,3.04,3.18,2.66,2.46,2.25,1.73,1.61,1.55,1.49,1.30
Acid Test,1.20,1.64,1.99,2.07,1.83,1.61,1.63,1.63,1.30,1.48,1.15,0.51,0.78,0.45,0.58,0.59,0.51
Times Interest Earned,2.90,54.90,55.66,53.60,69.89,61.12,65.66,26.92,21.02,30.92,24.11,25.34,22.54,6.03,4.21,9.96,6.20
Total Debt Ratio,0.53,0.30,0.25,0.27,0.27,0.29,0.30,0.30,0.29,0.34,0.36,0.37,0.48,0.51,0.55,0.57,0.65
Debt To Equity,1.13,0.43,0.34,0.36,0.36,0.41,0.42,0.44,0.41,0.52,0.56,0.59,0.92,1.03,1.21,1.34,1.88
Return on Capital Employed,0.20,0.30,0.30,0.31,0.34,0.35,0.37,0.35,0.31,0.43,0.41,0.45,0.50,0.25,0.24,0.31,0.31
Average Collection Period,54.91,47.10,36.83,32.33,19.47,13.36,10.40,10.72,4.84,0.98,1.35,6.76,22.38,15.80,45.60,50.34,50.84
Days sales Inventory,154.94,156.36,143.20,119.18,123.42,118.78,111.11,111.52,130.72,111.61,124.63,158.09,120.77,142.21,144.72,146.43,148.88
Total Assets Turnover,1.10,1.57,1.63,1.66,1.79,1.86,2.00,2.04,2.12,1.99,2.10,2.24,2.12,2.11,1.86,1.79,1.73
Gross Profit Margin,45.16,44.81,42.72,41.07,40.63,39.07,39.09,37.11,36.07,40.00,41.57,42.38,41.30,37.23,36.86,36.67,34.49
Net Profit Margin,6.25,8.94,9.84,9.56,9.73,9.73,9.65,8.89,7.62,10.46,9.11,9.36,9.05,3.67,3.30,5.35,3.98
