Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"1,638,058,000","1,177,145,000","1,223,549,000","1,138,904,000","1,034,257,000","1,045,323,000","579,585,000","595,229,000","634,304,000","717,166,000","721,967,000","1,052,460,000","614,447,000"
Investments,"84,232,000","86,699,000","109,562,000","116,843,000","72,557,000","22,546,000","12,810,000","22,969,000","24,166,000","5,567,000","6,962,000","13,849,000","13,849,000"
Cash in Hand and Bank,"40,635,000","76,625,000","21,420,000","44,356,000","95,277,000","191,738,000","255,010,000","217,345,000","144,013,000","257,449,000","282,170,000","170,875,000","192,281,000"
Stores and Spares,"13,593,000","16,906,000","15,772,000","16,924,000","15,422,000","7,056,000","6,288,000","6,952,000","10,778,000","8,574,000","8,375,000","7,109,000","6,028,000"
Stock in Trade,"1,085,933,000","917,368,000","1,015,911,000","1,018,236,000","734,991,000","717,550,000","810,836,000","875,915,000","987,881,000","1,099,616,000","966,347,000","1,021,979,000","873,279,000"
Trade Debts,"1,039,773,000","1,461,014,000","1,164,907,000","1,249,455,000","1,223,283,000","1,093,739,000","1,083,418,000","827,388,000","694,265,000","655,993,000","599,377,000","552,117,000","569,402,000"
Current Assets,"2,757,500,000","2,978,925,000","2,819,267,000","2,817,178,000","2,503,919,000","2,358,023,000","2,393,694,000","2,186,828,000","2,099,423,000","2,228,669,000","2,094,976,000","2,016,194,000","1,985,347,000"
Quick Assets,"1,657,974,000","2,044,651,000","1,787,584,000","1,782,018,000","1,753,506,000","1,633,417,000","1,576,570,000","1,303,961,000","1,100,764,000","1,120,479,000","1,120,254,000","987,106,000","1,106,040,000"
Total Assets,"4,554,960,000","4,346,981,000","4,270,644,000","4,188,979,000","3,703,282,000","3,547,483,000","3,232,150,000","3,038,430,000","3,004,461,000","3,155,698,000","2,984,185,000","3,232,652,000","2,787,712,000"
Interest Bearing Long Term Liability,"120,122,000","89,635,000","69,965,000","138,263,000","1,350,000","42,799,000","151,556,000","55,583,000","122,675,000","233,732,000","4,023,000","50,000,000","116,666,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"1,279,310,000","1,285,103,000","1,206,287,000","1,016,823,000","904,134,000","1,151,802,000","1,303,308,000","1,282,889,000","1,107,579,000","1,084,836,000","1,305,665,000","1,514,263,000","1,316,511,000"
* Non Interest Bearing Short Term Liability,"937,761,000","1,231,945,000","1,318,383,000","1,486,271,000","1,326,350,000","1,090,124,000","970,692,000","990,357,000","1,137,451,000","1,236,543,000","1,004,697,000","945,088,000","1,033,008,000"
Trades Payables,"902,588,000","1,192,513,000","1,301,918,000","1,472,877,000","1,314,784,000","1,062,745,000","930,528,000","952,876,000","1,096,443,000","1,188,083,000","960,277,000","894,303,000","989,484,000"
Total Current Liabilities,"2,227,916,000","2,523,028,000","2,529,426,000","2,503,094,000","2,230,484,000","2,241,926,000","2,274,000,000","2,273,246,000","2,245,030,000","2,321,379,000","2,310,362,000","2,459,351,000","2,349,519,000"
Total Liabilities,"2,499,937,000","2,766,712,000","2,750,983,000","2,761,334,000","2,341,067,000","2,361,145,000","2,480,091,000","2,389,521,000","2,415,570,000","2,555,111,000","2,314,385,000","2,509,351,000","2,466,185,000"
Paid Up Capital,"204,597,000","204,597,000","181,864,000","181,864,000","181,864,000","181,864,000","181,864,000","181,864,000","181,864,000","181,864,000","181,864,000","81,864,000","81,864,000"
Reserves,"1,017,476,000","903,660,000","828,666,000","724,418,000","638,038,000","444,701,000","385,317,000","280,734,000","219,307,000","220,726,000","277,593,000","114,787,000","84,919,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"832,950,000","472,012,000","509,131,000","521,363,000","542,313,000","559,773,000","184,878,000","186,311,000","187,720,000","197,997,000","210,343,000","526,650,000","154,744,000"
Shareholder Equity,"2,055,023,000","1,580,269,000","1,519,661,000","1,427,645,000","1,362,215,000","1,186,338,000","752,059,000","648,909,000","588,891,000","600,587,000","669,800,000","723,301,000","321,527,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"20,459,700","20,459,700","18,186,400","18,186,382","18,186,409","18,186,409","18,186,409","18,186,409","18,186,409","18,186,409","18,186,409","8,186,409","8,186,409"
