Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"4,177,951,000","5,120,444,000","5,453,221,000","5,122,570,000","5,081,749,000","4,301,830,000","4,500,893,000","4,167,303,000","4,052,009,000","3,571,510,000","3,359,276,000","3,580,302,000","3,123,311,000"
COGS,"3,301,617,000","4,004,021,000","4,148,718,000","3,632,609,000","3,534,578,000","3,146,498,000","3,411,771,000","3,238,930,000","3,253,590,000","2,827,830,000","2,577,550,000","2,745,755,000","2,519,880,000"
Gross Profit,"876,334,000","1,116,423,000","1,304,503,000","1,489,961,000","1,547,171,000","1,155,332,000","1,089,122,000","928,373,000","798,419,000","743,680,000","781,726,000","834,547,000","603,431,000"
Administrative Expenses,"167,647,000","184,684,000","191,387,000","185,199,000","216,505,000","180,459,000","181,522,000","153,741,000","143,872,000","142,195,000","133,335,000","138,654,000","92,880,000"
Selling & Distributive Expenses,"479,685,000","665,377,000","898,866,000","1,009,310,000","919,830,000","681,425,000","708,993,000","595,123,000","534,128,000","521,471,000","601,954,000","594,941,000","609,415,000"
Financial Charges,"190,050,000","165,067,000","88,142,000","74,960,000","89,214,000","148,354,000","166,086,000","164,115,000","205,762,000","216,330,000","252,734,000","253,906,000","138,257,000"
Other Income,"84,041,000","31,681,000","36,923,000","51,356,000","135,695,000","34,115,000","126,106,000","97,244,000","87,528,000","69,504,000","126,321,000","266,875,000","37,162,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"8,461,000","19,978,000","15,820,000","5,917,000","134,922,000","12,621,000","9,665,000","11,270,000","9,265,000","2,592,000","48,323,000","66,625,000","225,688,000"
EBITDA,"384,510,000","361,195,000","319,791,000","421,078,000","518,562,000","383,139,000","381,360,000","328,592,000","266,899,000","217,446,000","187,746,000","350,521,000","-248,672,000"
EBIT,"304,582,000","278,065,000","235,353,000","340,891,000","411,609,000","314,942,000","315,048,000","265,483,000","198,682,000","146,926,000","124,435,000","301,202,000","-287,390,000"
EBT,"114,532,000","112,998,000","147,211,000","265,931,000","322,395,000","166,588,000","148,962,000","101,368,000","-7,080,000","-69,404,000","-128,299,000","47,296,000","-425,647,000"
Tax,"40,224,000","12,173,000","45,106,000","63,820,000","137,618,000","57,435,000","51,454,000","41,350,000","3,359,000","-191,000","-12,078,000","20,160,000","-122,900,000"
PAT,"74,308,000","100,825,000","102,105,000","202,111,000","184,777,000","109,153,000","97,508,000","60,018,000","-10,439,000","-69,213,000","-116,221,000","27,136,000","-302,747,000"
EPS,3.63,4.93,5.61,11.11,10.16,6,5.36,3.3,-0.57,-3.81,-8.91,3.31,-43.62
