Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Fixed Assets,"1,907,683,000","1,989,838,000","2,002,343,000","1,268,570,000","1,377,110,000","1,450,322,000","1,456,893,000","1,534,156,000","1,526,580,000","1,612,831,000","1,360,688,000","1,322,720,000"
Investments,"125,631,000","125,631,000","125,631,000","125,631,000",0,0,0,0,0,0,0,0
Cash in Hand and Bank,"145,484,000","9,733,000","4,829,000","192,593,000","19,806,000","10,715,000","49,276,000","22,252,000","37,414,000","6,306,000","34,484,000","17,204,000"
Stores and Spares,"138,924,000","137,909,000","209,039,000","228,054,000","232,542,000","243,774,000","224,217,000","238,312,000","258,880,000","239,299,000","304,488,000","303,607,000"
Stock in Trade,"249,439,000","495,183,000","131,459,000","163,374,000","234,760,000","65,003,000","140,467,000","194,156,000","121,306,000","65,397,000","552,558,000","586,522,000"
Trade Debts,"106,181,000","216,308,000","123,433,000","127,292,000","69,858,000","80,467,000","82,607,000","238,193,000","177,747,000","126,298,000","253,162,000","338,833,000"
Current Assets,"716,321,000","1,029,331,000","650,762,000","879,843,000","717,844,000","548,844,000","648,460,000","790,840,000","723,936,000","595,345,000","1,433,827,000","1,414,109,000"
Quick Assets,"327,958,000","396,239,000","310,264,000","488,415,000","250,542,000","240,067,000","283,776,000","358,372,000","343,750,000","290,649,000","576,781,000","523,980,000"
Total Assets,"2,749,635,000","3,144,800,000","2,787,201,000","2,355,996,000","2,094,954,000","1,999,166,000","2,105,353,000","2,348,255,000","2,273,775,000","2,231,435,000","2,794,515,000","2,751,425,000"
Interest Bearing Long Term Liability,"26,927,000","35,130,000","119,948,000","266,415,000","1,592,116,000","1,101,947,000","1,179,852,000","953,046,000","1,073,272,000","778,954,000","888,283,000","830,655,000"
Non Interest Bearing Long Term Liability,0,0,0,0,"482,080,000","482,080,000","482,080,000","482,080,000",0,0,"482,080,000","482,080,000"
Interest Bearing Short Term Liability,"737,978,000","767,858,000","438,237,000","651,778,000","634,129,000","619,885,000","440,654,000","441,750,000","422,220,000","507,287,000","895,102,000","776,726,000"
* Non Interest Bearing Short Term Liability,"856,593,000","918,235,000","817,995,000","1,012,477,000","1,227,043,000","1,017,217,000","1,027,504,000","1,096,733,000","903,894,000","796,196,000","509,813,000","216,743,000"
Trades Payables,"739,409,000","810,328,000","703,275,000","878,789,000","1,042,484,000","837,024,000","869,574,000","929,363,000","637,389,000","499,990,000","509,813,000","216,743,000"
Total Current Liabilities,"1,594,735,000","1,686,257,000","1,256,396,000","1,664,255,000","1,861,172,000","1,637,102,000","1,468,158,000","1,538,323,000","1,503,026,000","1,594,163,000","1,561,056,000","1,059,985,000"
Total Liabilities,"1,860,362,000","1,791,477,000","1,611,335,000","2,169,173,000","4,559,581,000","4,417,329,000","4,131,252,000","3,805,621,000","3,134,342,000","2,931,823,000","2,950,626,000","2,399,192,000"
Paid Up Capital,"2,616,000,000","2,616,000,000","2,616,000,000","1,716,000,000","1,716,000,000","1,716,000,000","1,716,000,000","1,716,000,000","858,000,000","858,000,000","858,000,000","858,000,000"
Reserves,"-2,342,849,000","-1,892,274,000","-2,084,599,000","-1,818,176,000","-4,960,353,000","-4,441,304,000","-3,988,995,000","-3,427,022,000","-1,979,344,000","-1,827,018,000","-1,014,111,000","-505,767,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"616,122,000","629,597,000","644,465,000","288,999,000","297,646,000","307,141,000","247,096,000","253,656,000","260,777,000","268,630,000",0,0
Shareholder Equity,"889,273,000","1,353,323,000","1,175,866,000","186,823,000","-2,946,707,000","-2,418,163,000","-2,025,899,000","-1,457,366,000","-860,567,000","-700,388,000","-156,111,000","352,233,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"261,600,000","261,600,000","261,600,000","1,716,000,000","171,600,000","171,600,000","171,600,000","171,600,000","85,800,000","85,800,000","85,800,000","85,800,000"
