Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Operating Cash Flow,"234,521,000","-456,139,000","-299,099,000","-320,576,000","-189,075,000","-83,682,000","-122,898,000","236,028,000","125,275,000","24,890,000","3,734,000","-558,058,000"
Captial Expenditure,"60,842,000","63,484,000","366,087,000","13,821,000","62,637,000","45,573,000","61,280,000","150,114,000","43,525,000","84,911,000","177,054,000","20,045,000"
Cashflow from Investing,"-60,842,000","-63,484,000","-374,552,000","-221,404,000","-62,637,000","-45,573,000","-61,280,000","-150,114,000","-43,525,000","-86,170,000","-162,458,000","5,745,000"
Cash Flow from Financing,"-37,928,000","524,527,000","485,887,000","714,767,000","260,803,000","90,695,000","211,202,000","-101,076,000","-50,642,000","51,481,000","176,004,000","555,652,000"
Net Change,"135,751,000","4,904,000","-187,764,000","172,787,000","9,091,000","-38,560,000","27,024,000","-15,162,000","31,108,000","-9,799,000","17,280,000","3,339,000"
Opening Cash,"9,733,000","4,829,000","192,593,000","19,806,000","10,715,000","49,276,000","22,252,000","37,414,000","6,306,000","16,105,000","17,204,000","13,865,000"
Closing Cash,"145,484,000","9,733,000","4,829,000","192,593,000","19,806,000","10,716,000","49,276,000","22,252,000","37,414,000","6,306,000","34,484,000","17,204,000"
FCFF,"173,679,000","-519,623,000","-665,186,000","-334,397,000","-251,712,000","-129,255,000","-184,178,000","85,914,000","81,750,000","-60,021,000","-173,320,000","-578,103,000"
FCFE,"135,751,000","4,904,000","-179,299,000","380,370,000","9,091,000","-38,560,000","27,024,000","-15,162,000","31,108,000","-8,540,000","2,684,000","-22,451,000"
