Year,2020,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-52.20,-24.16,-263.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-129.53
Return on Assets,-16.88,-10.19,-20.87,-25.03,-22.98,-27.00,-9.64,-7.04,-25.32,-18.19,-16.58
Book Value per Share,3.40,4.49,0.11,-17.17,-14.09,-11.81,-8.49,-10.03,-8.16,-1.82,4.11
Earning Per Share,-1.77,-1.64,-2.87,-3.06,-2.68,-3.31,-1.50,-1.87,-6.59,-5.92,-8.29
Net Working Capital to Total Asseets,-0.32,-0.22,-0.33,-0.55,-0.54,-0.39,-0.32,-0.34,-0.45,-0.05,0.13
Current Ratio,0.45,0.52,0.53,0.39,0.34,0.44,0.51,0.48,0.37,0.92,1.33
Acid Test,0.21,0.25,0.29,0.13,0.15,0.19,0.23,0.23,0.18,0.37,0.49
Times Interest Earned,-2.92,-4.40,-1.33,-1.57,-0.83,-1.32,0.04,0.13,-2.06,-1.41,-1.19
Total Debt Ratio,0.68,0.58,0.92,2.18,2.21,1.96,1.62,1.38,1.31,1.06,0.87
Debt To Equity,2.09,1.37,11.61,-1.55,-1.83,-2.04,-2.61,-3.64,-4.19,-18.90,6.81
Return on Capital Employed,-0.29,-0.15,-0.40,-1.38,-0.58,-0.51,0.01,0.03,-0.60,-0.24,-0.15
Average Collection Period,25.94,94.75,68.92,17.06,18.29,13.68,32.03,33.09,41.95,89.45,104.08
Days sales Inventory,92.13,183.82,152.09,96.12,64.49,54.71,58.46,73.67,81.97,256.33,237.61
Total Assets Turnover,0.54,0.17,0.29,0.71,0.80,1.05,1.16,0.86,0.49,0.37,0.43
Gross Profit Margin,-2.98,-42.18,-39.34,-18.74,-8.84,-10.40,0.52,3.94,-23.48,-18.14,-15.08
Net Profit Margin,-31.07,-59.73,-72.94,-35.08,-28.61,-25.80,-8.34,-8.17,-51.43,-49.21,-38.40
