Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2009,2008
Sales,"1,586,550,076","1,409,578,431","1,678,537,097","1,199,632,223","1,447,883,189","1,401,982,100","1,264,579,133","1,284,690,774","951,070,746","588,494,619","581,981,736","429,758,844"
COGS,"1,022,846,086","800,813,888","841,706,262","641,340,658","772,383,456","780,523,845","727,123,298","827,242,174","653,622,890","396,687,968","396,008,948","289,481,758"
Gross Profit,"563,703,990","608,764,543","836,830,835","558,291,565","675,499,733","621,458,255","537,455,835","457,448,600","297,447,856","191,806,651","185,972,788","140,277,086"
Administrative Expenses,"128,090,277","123,413,595","119,065,144","105,439,631","100,375,068","68,889,144","64,493,997","56,862,100","41,082,018","29,446,508","23,749,654","18,116,664"
Selling & Distributive Expenses,"59,851,112","39,514,703","28,756,466","24,223,730","22,478,815","19,004,748","19,637,343","13,443,910","11,589,269","7,412,052","5,772,980","5,444,455"
Financial Charges,"71,602,785","63,245,156","22,908,377","24,954,088","21,043,926","21,972,315","16,746,542","12,208,532","5,447,858","2,276,147","3,734,911","8,418,361"
Other Income,"56,384,652","103,025,118","47,264,729","31,298,127","27,104,160","34,948,307","27,982,081","22,316,999","14,926,970","6,913,633","7,070,965","5,235,284"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"56,017,260","25,374,708","49,935,591","27,747,897","38,157,446","37,620,193","33,614,202","26,167,329","17,365,083","11,050,833","11,010,532","7,689,150"
EBITDA,"403,345,711","544,904,161","709,016,256","453,007,946","561,270,673","546,892,036","464,191,115","399,531,024","259,022,319","169,270,744","172,492,563","135,400,367"
EBIT,"376,129,993","523,486,655","686,338,363","432,178,434","541,592,564","530,892,477","447,692,374","383,292,260","242,338,456","150,810,892","152,510,587","114,262,101"
EBT,"304,527,208","460,241,499","663,429,986","407,224,346","520,548,638","508,920,162","430,945,832","371,083,728","236,890,598","148,534,745","148,775,676","105,843,740"
Tax,"58,656,561","100,349,495","130,819,619","86,645,722","122,113,592","116,378,542","112,304,671","84,822,463","70,280,465","36,202,272","34,313,978","30,234,105"
PAT,"245,870,647","359,892,004","532,610,367","320,578,624","398,435,046","392,541,620","318,641,161","286,261,265","166,610,133","112,332,473","114,461,698","75,609,635"
EPS,7.06,13.63,24.21,14.57,19.92,19.63,15.93,14.31,8.33,5.62,5.72,3.78
