Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Cash in Hand and Bank,"22,034,025,000","14,640,163,000","14,292,752,000","11,784,180,000","8,921,433,000","9,035,886,000","6,361,444,000","4,883,478,000","4,938,707,000","4,684,826,000","3,035,148,000","4,217,515,000","2,175,413,000"
Lendings To Banks & Financial Inst.,"53,948,281,000","44,789,128,000","19,006,125,000","22,173,594,000","28,358,815,000","41,604,931,000","18,877,097,000","7,478,730,000","9,281,782,000","4,985,541,000","5,082,754,000","6,078,363,000","2,247,841,000"
Advances,"130,161,889,000","131,774,504,000","118,570,811,000","119,155,039,000","77,816,802,000","69,576,275,000","41,097,058,000","38,308,733,000","27,433,262,000","20,110,401,000","16,670,125,000","13,282,152,000","6,527,531,000"
Investments,"95,239,635,000","55,194,471,000","38,832,093,000","42,092,166,000","46,316,927,000","35,885,958,000","30,654,552,000","31,610,287,000","28,994,462,000","21,067,082,000","13,732,132,000","6,813,191,000","5,019,525,000"
Fixed Assets,"11,741,506,000","12,717,391,000","6,663,467,000","9,072,487,000","9,347,525,000","5,633,219,000","3,380,168,000","2,958,077,000","1,913,106,000","1,811,628,000","2,066,680,000","2,395,304,000","1,910,648,000"
Other Assets,"23,171,962,000","23,980,837,000","18,378,008,000","11,887,679,000","10,084,668,000","12,393,623,000","1,613,830,000","1,616,289,000","1,674,711,000","6,161,836,000","4,448,864,000","1,500,246,000","1,207,642,000"
Total Assets,"336,297,298,000","283,096,494,000","215,743,256,000","216,165,145,000","180,846,170,000","174,129,892,000","101,984,149,000","86,855,594,000","74,236,030,000","58,821,314,000","45,035,703,000","34,286,771,000","19,088,600,000"
Deposits,"282,015,950,000","228,826,675,000","184,693,363,000","179,249,290,000","154,399,657,000","153,058,102,000","90,330,997,000","75,225,869,000","64,216,485,000","50,568,785,000","38,198,320,000","27,987,378,000","12,477,955,000"
Borrowings & Bills Payable,"21,077,102,000","18,748,931,000","11,061,712,000","18,559,386,000","8,340,241,000","4,721,703,000","1,479,435,000","3,373,562,000","2,872,425,000","1,598,853,000","916,020,000","641,768,000","599,585,000"
Sub-Ordinated Loans,"2,000,000,000","1,700,000,000",0,0,0,0,0,0,0,0,0,0,0
Other Liabilites including Lease Liabilities,"11,309,073,000","14,124,556,000","5,473,366,000","4,680,000,000","5,661,606,000","5,163,817,000","3,306,497,000","2,013,962,000","1,574,666,000","1,341,038,000","1,154,977,000","917,332,000","819,239,000"
Total Liabilities,"316,402,125,000","263,400,162,000","201,228,441,000","202,488,676,000","168,401,504,000","162,943,622,000","95,116,929,000","80,613,393,000","68,663,576,000","53,508,676,000","40,269,317,000","29,546,478,000","13,896,779,000"
Net Assets,"19,895,173,000","19,696,332,000","14,514,815,000","13,676,469,000","12,444,666,000","11,186,270,000","6,867,220,000","6,242,201,000","5,572,454,000","5,312,638,000","4,766,386,000","4,740,293,000","5,191,821,000"
Paid Up Capital,"11,007,991,000","11,007,991,000","10,000,079,000","10,079,121,000","10,079,121,000","10,079,121,000","5,758,721,000","5,279,679,000","5,279,679,000","5,279,679,000","5,279,679,000","5,279,679,000","5,279,679,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Reserves,"5,856,673,000","4,061,977,000","2,664,089,000","2,321,008,000","747,147,000","272,681,000","461,080,000","235,275,000","274,734,000","-136,119,000","-545,675,000","-577,246,000","-98,307,000"
Surplus On Revaluation,"3,030,509,000","4,626,364,000","1,850,647,000","1,276,340,000","1,618,398,000","834,468,000","647,419,000","727,247,000","18,041,000","169,078,000","32,382,000","37,860,000","10,449,000"
Shareholder Equity,"19,895,173,000","19,696,332,000","14,514,815,000","13,676,469,000","12,444,666,000","11,186,270,000","6,867,220,000","6,242,201,000","5,572,454,000","5,312,638,000","4,766,386,000","4,740,293,000","5,191,821,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"1,100,799,100","1,100,799,100","1,000,007,900","1,007,912,100","1,007,912,090","1,007,912,090","575,872,090","527,967,898","527,967,898","527,967,898","527,967,898","527,967,898","527,967,898"
