Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Long Term Loans & Advances,"21,905,000","22,641,000","23,175,000","15,324,000","16,281,000","13,116,000","10,682,000","6,927,000","5,064,000","5,621,000","6,659,000","5,726,000"
Investments,"296,017,000","361,377,000","488,286,000","669,304,000","808,293,000","618,284,000","881,906,000","1,151,006,000","1,049,779,000","1,056,169,000","1,430,259,000","659,638,000"
Fixed Assets,"43,346,000","52,409,000","39,472,000","37,480,000","28,165,000","37,217,000","52,005,000","46,837,000","35,838,000","36,588,000","42,689,000","54,590,000"
Cash in Hand and Bank,"909,207,000","238,825,000","546,138,000","496,966,000","644,614,000","547,174,000","652,580,000","337,397,000","363,088,000","142,308,000","96,945,000","288,289,000"
Current Assets,"2,264,099,000","1,385,195,000","1,203,967,000","1,304,494,000","1,552,186,000","933,409,000","1,014,969,000","1,272,453,000","1,002,555,000","747,216,000","1,151,957,000","1,876,991,000"
Total Assets,"2,680,713,000","1,895,960,000","1,825,951,000","1,915,858,000","2,377,337,000","1,628,703,000","1,986,947,000","2,257,847,000","2,007,012,000","1,665,708,000","2,034,743,000","2,305,027,000"
Total Non Current Liabilities,"154,233,000","159,889,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","100,000,000",0,0,"166,566,000","501,347,000"
Total Current Liabilities,"1,744,282,000","982,676,000","801,686,000","840,873,000","1,146,579,000","541,700,000","579,991,000","939,432,000","833,460,000","675,444,000","804,791,000","785,478,000"
Total Liabilities,"1,898,515,000","1,142,565,000","951,686,000","990,873,000","1,296,579,000","691,700,000","729,991,000","1,039,432,000","833,460,000","675,444,000","971,357,000","1,286,825,000"
Paid Up Capital,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000"
Reserves,"-217,801,000","-390,011,000","-427,039,000","-400,080,000","-438,123,000","-457,238,000","123,543,000","64,885,000","33,431,000","-9,736,000","63,386,000","18,202,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"782,199,000","753,395,000","874,265,000","924,985,000","1,080,758,000","937,003,000","1,256,956,000","1,218,415,000","1,173,552,000","990,264,000","1,063,386,000","1,018,202,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000"
Surplus On Revaluation of Assets,0,"143,406,000","301,304,000","325,065,000","518,881,000","394,241,000","133,413,000","153,530,000","140,121,000",0,0,0
