Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Net Working Capital to Total Asseets,0.19,0.21,0.22,0.24,0.17,0.24,0.22,0.15,0.08,0.04,0.17,0.47
Current Ratio,1.30,1.41,1.50,1.55,1.35,1.72,1.75,1.35,1.20,1.11,1.43,2.39
Time Interest Earn,6.44,0.44,-1.69,6.83,2.18,-33.37,7.17,14.99,5.67,-0.92,2.03,-1.97
Return on Capital Employed,0.17,0.01,-0.03,0.09,0.03,-0.50,0.11,0.10,0.09,-0.06,0.12,-0.11
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.38,38.05,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,38.62,61.95,100.00,100.00,100.00
Return on Equity,12.02,-1.58,-3.08,4.11,1.77,-61.98,8.64,6.68,11.20,-14.77,6.48,-29.29
Return on Assets,3.51,-0.63,-1.48,1.99,0.80,-35.66,5.47,3.61,6.55,-8.78,3.38,-12.94
Book Value per Share,7.82,7.53,8.74,9.25,10.81,9.37,12.57,12.18,11.74,9.90,10.63,10.18
Earning Per Share,0.94,-0.12,-0.27,0.38,0.19,-5.81,1.09,0.81,1.31,-1.46,0.69,-2.98
