Year,2020,2019,2018,2017,2016,2015,2014,2013
Fixed Assets,"1,278,910,000","1,068,086,000","1,089,739,000","1,119,852,000","1,142,667,000","862,240,000","862,146,000","814,678,000"
Investments,"1,093,056,000","1,097,756,000","1,134,680,000","369,131,000","366,358,000","364,226,000","362,455,000","294,480,000"
Cash in Hand and Bank,"1,894,000","5,385,000","1,726,000","12,709,000","82,842,000","3,506,000","1,283,000","1,349,000"
Stores and Spares,"71,652,000","69,210,000","77,377,000","789,050,000","66,714,000","57,387,000","38,637,000","32,121,000"
Stock in Trade,"676,110,000","533,053,000","619,289,000","617,366,000","486,962,000","472,266,000","416,380,000","346,097,000"
Trade Debts,"282,882,000","483,727,000","364,030,000","184,080,000","64,961,000","219,551,000","204,214,000","243,549,000"
Current Assets,"1,061,079,000","1,108,769,000","1,104,569,000","957,879,000","748,652,000","779,446,000","689,877,000","674,155,000"
Quick Assets,"313,317,000","506,506,000","407,903,000","-448,537,000","194,976,000","249,793,000","234,860,000","295,937,000"
Total Assets,"3,438,770,000","3,278,738,000","3,332,366,000","2,451,255,000","2,261,221,000","2,009,406,000","1,918,192,000","1,786,121,000"
Interest Bearing Long Term Liability,"4,366,000",0,0,0,0,"2,500,000","12,500,000",0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"427,489,000","385,248,000","250,144,000","140,330,000","2,500,000","59,778,000","104,779,000","146,997,000"
* Non Interest Bearing Short Term Liability,"111,555,000","161,630,000","217,084,000","112,911,000","105,108,000","139,823,000","90,657,000","72,430,000"
Trades Payables,"98,186,000","150,458,000","212,205,000","111,876,000","105,089,000","139,459,000","89,648,000","70,351,000"
Total Current Liabilities,"554,679,000","565,898,000","511,618,000","285,986,000","139,267,000","238,919,000","218,005,000","254,754,000"
Total Liabilities,"678,177,000","677,236,000","650,639,000","564,596,000","406,282,000","475,928,000","453,055,000","459,868,000"
Paid Up Capital,"95,063,000","95,063,000","95,063,000","95,063,000","95,063,000","95,063,000","95,063,000","76,050,000"
Reserves,"882,390,000","915,358,000","980,354,000","971,763,000","932,423,000","881,440,000","806,860,000","680,547,000"
Preferred Equity,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,783,140,000","1,591,081,000","1,606,310,000","819,833,000","827,453,000","556,975,000","563,214,000","569,656,000"
Shareholder Equity,"2,760,593,000","2,601,502,000","2,681,727,000","1,886,659,000","1,854,939,000","1,533,478,000","1,465,137,000","1,326,253,000"
Paid Up Value,10,10,10,10,10,10,10,10
Number of Shares,"9,506,300","9,506,300","9,506,300","9,506,250","9,506,250","9,506,250","9,506,250","7,605,000"
