Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Cash in Hand and Bank,"69,271,804,000","53,414,628,000","43,589,007,000","42,477,950,000","35,756,024,000","26,190,481,000","23,622,411,000","23,820,864,000","17,298,251,000","16,698,333,000","14,069,601,000","13,043,705,000","10,685,057,000","14,210,302,000"
Lendings To Banks & Financial Inst.,"18,484,574,000","14,370,340,000","33,645,465,000","30,648,233,000","15,328,000,000","10,625,295,000","34,987,793,000","15,672,744,000","4,664,116,000","11,054,482,000","10,585,821,000","3,239,332,000","2,811,788,000","4,377,662,000"
Advances,"391,160,612,000","383,313,380,000","381,877,256,000","295,751,721,000","262,067,924,000","219,398,631,000","170,312,593,000","157,285,598,000","149,605,002,000","127,129,501,000","120,818,021,000","121,315,799,000","131,731,158,000","133,893,585,000"
Investments,"567,788,623,000","361,452,930,000","210,071,483,000","242,506,452,000","199,741,990,000","176,043,046,000","154,874,757,000","123,956,143,000","129,518,999,000","92,581,306,000","56,402,954,000","57,960,105,000","22,711,980,000","73,461,695,000"
Fixed Assets,"14,812,949,000","15,218,893,000","8,787,928,000","8,518,887,000","7,692,675,000","6,484,312,000","5,490,121,000","3,514,801,000","3,473,491,000","3,597,483,000","3,534,660,000","3,427,267,000","3,471,838,000","3,252,759,000"
Other Assets,"33,927,454,000","41,157,609,000","36,408,453,000","29,643,808,000","24,627,518,000","33,541,889,000","31,082,513,000","28,447,995,000","27,551,195,000","29,936,426,000","23,779,216,000","17,683,655,000","14,497,299,000","5,805,097,000"
Total Assets,"1,095,446,016,000","868,927,780,000","714,379,592,000","649,547,051,000","545,214,131,000","472,283,654,000","420,370,188,000","352,698,145,000","332,111,054,000","280,997,531,000","229,190,273,000","216,669,863,000","185,909,120,000","235,001,100,000"
Deposits,"835,067,592,000","691,017,447,000","595,581,962,000","556,281,156,000","453,219,740,000","374,961,096,000","342,290,763,000","306,560,767,000","266,055,781,000","237,896,700,000","208,176,988,000","190,858,215,000","164,072,532,000","191,968,909,000"
Borrowings & Bills Payable,"159,010,056,000","80,466,038,000","45,370,878,000","42,314,687,000","44,012,614,000","57,123,861,000","46,470,355,000","24,308,817,000","46,184,535,000","25,814,135,000","12,107,883,000","14,915,632,000","13,498,574,000","18,780,562,000"
Sub-Ordinated Loans,"6,791,700,000","8,794,420,000","8,797,140,000","4,499,000,000","4,500,000,000",0,"2,000,000,000",0,0,0,0,0,0,0
Other Liabilites including Lease Liabilities,"42,315,157,000","41,967,541,000","26,909,321,000","16,720,448,000","15,627,279,000","17,520,357,000","10,282,363,000","8,347,263,000","7,499,235,000","6,514,106,000","5,236,932,000","4,720,073,000","4,594,889,000","5,255,835,000"
Total Liabilities,"1,043,184,505,000","822,245,446,000","676,659,301,000","619,815,291,000","517,359,633,000","449,605,314,000","401,043,481,000","339,216,847,000","319,739,551,000","270,224,941,000","225,521,803,000","210,493,920,000","182,165,995,000","216,005,306,000"
Net Assets,"52,261,511,000","46,682,334,000","37,720,291,000","29,731,760,000","27,854,498,000","22,678,340,000","19,326,707,000","13,481,298,000","12,371,503,000","10,772,590,000","3,668,470,000","6,175,943,000","3,743,125,000","18,995,794,000"
Paid Up Capital,"26,173,766,000","26,173,766,000","26,173,766,000","26,436,924,000","15,551,132,000","15,551,132,000","15,551,132,000","10,551,132,000","5,287,974,000","5,287,974,000","5,287,974,000","5,287,974,000","5,287,974,000","4,230,379,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reserves,"20,132,386,000","15,137,361,000","8,286,213,000","408,234,000","8,696,453,000","3,845,567,000","-295,069,000","2,025,616,000","5,445,069,000","4,847,115,000","-2,340,497,000","242,940,000","-231,454,000","10,880,074,000"
Surplus On Revaluation,"5,955,359,000","5,371,207,000","3,260,312,000","2,886,602,000","3,606,913,000","3,281,641,000","4,070,644,000","904,550,000","1,638,460,000","637,501,000","720,993,000","645,029,000","-1,313,395,000","3,885,341,000"
Shareholder Equity,"52,261,511,000","46,682,334,000","37,720,291,000","29,731,760,000","27,854,498,000","22,678,340,000","19,326,707,000","13,481,298,000","12,371,503,000","10,772,590,000","3,668,470,000","6,175,943,000","3,743,125,000","18,995,794,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"2,617,376,600","2,617,376,600","2,617,376,600","2,643,692,400","1,555,113,165","1,555,113,165","1,555,113,165","1,055,113,165","528,797,376","528,797,376","528,797,376","528,797,376","528,797,376","423,037,901"
