Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"732,090,000","742,636,000","758,226,000","750,768,000","760,352,000","200,957,000","226,958,000","277,918,000","334,564,000","387,181,000","456,620,000","513,452,000"
Investments,"50,000,000","50,000,000","50,000,000","50,000,000","53,081,000",0,0,"2,000","2,000","2,000","2,000","2,000"
Cash in Hand and Bank,"173,732,000","110,922,000","111,924,000","92,869,000","234,771,000","317,826,000","203,241,000","240,442,000","105,320,000","126,929,000","193,499,000","52,621,000"
Stores and Spares,"2,415,000","2,606,000","5,800,000","3,924,000","3,607,000","3,417,000","3,572,000","3,094,000","3,114,000","3,400,000","4,176,000","3,742,000"
Stock in Trade,"75,422,000","95,341,000","50,755,000","37,536,000","41,489,000","11,707,000","85,920,000","11,401,000","21,854,000","25,645,000","25,763,000","22,094,000"
Trade Debts,"23,422,000","17,654,000","5,001,000","11,400,000","17,581,000","15,450,000","23,266,000","6,682,000","15,719,000","5,525,000","2,696,000","4,320,000"
Current Assets,"437,872,000","402,295,000","301,658,000","331,917,000","443,387,000","479,211,000","405,901,000","328,814,000","203,831,000","202,590,000","266,930,000","167,177,000"
Quick Assets,"360,035,000","304,348,000","245,103,000","290,457,000","398,291,000","464,087,000","316,409,000","314,319,000","178,863,000","173,545,000","236,991,000","141,341,000"
Total Assets,"1,731,847,000","1,750,238,000","1,643,693,000","1,610,335,000","1,641,151,000","825,945,000","792,912,000","722,958,000","706,556,000","735,642,000","882,064,000","861,716,000"
Interest Bearing Long Term Liability,"2,177,000","938,000","3,940,000","93,103,000","184,994,000",0,0,"5,659,000","10,435,000",0,"75,000,000","75,000,000"
Non Interest Bearing Long Term Liability,"386,402,000","374,145,000","373,599,000","369,057,000","330,416,000","261,023,000","195,608,000","187,323,000","179,324,000","252,139,000","400,470,000","396,302,000"
Interest Bearing Short Term Liability,"256,006,000","257,441,000","257,441,000","171,280,000","119,069,000",0,0,"2,343,000","3,203,000",0,0,"25,892,000"
* Non Interest Bearing Short Term Liability,"201,637,000","289,669,000","225,496,000","193,162,000","150,887,000","154,626,000","148,374,000","112,807,000","114,725,000","134,738,000","108,159,000","138,246,000"
Trades Payables,"91,342,000","179,374,000","140,287,000","129,992,000","145,141,000","154,626,000","148,374,000","112,807,000","114,725,000","134,738,000","108,159,000","138,246,000"
Total Current Liabilities,"523,824,000","600,786,000","482,937,000","364,442,000","289,790,000","154,626,000","148,374,000","115,150,000","117,928,000","134,738,000","108,159,000","164,138,000"
Total Liabilities,"912,403,000","977,817,000","865,374,000","828,188,000","828,776,000","424,402,000","367,907,000","308,132,000","307,687,000","386,877,000","583,629,000","635,440,000"
Paid Up Capital,"224,888,000","224,888,000","224,888,000","224,888,000","224,888,000","226,400,000","226,400,000","226,400,000","226,400,000","226,400,000","226,400,000","226,400,000"
Reserves,"319,791,000","296,987,000","278,666,000","285,535,000","312,722,000","175,143,000","198,605,000","188,426,000","172,469,000","122,365,000","72,035,000","-124,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"274,765,000","250,546,000","274,765,000","271,724,000","274,765,000",0,0,0,0,0,0,0
Shareholder Equity,"819,444,000","772,421,000","778,319,000","782,147,000","812,375,000","401,543,000","425,005,000","414,826,000","398,869,000","348,765,000","298,435,000","226,276,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"22,488,800","22,488,800","22,488,890","22,488,890","22,488,890","22,640,044","22,640,044","22,640,044","22,640,044","22,640,044","22,640,044","22,640,044"
