Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"3,249,870,000","2,926,076,000","1,826,825,000","2,012,770,000","2,391,891,000","2,467,544,000","2,350,872,000","1,977,637,000","1,471,885,000","1,225,694,000","1,239,600,000","1,125,939,000"
COGS,"3,034,515,000","2,693,563,000","1,617,005,000","1,871,442,000","2,063,874,000","2,319,702,000","2,149,366,000","1,762,134,000","1,366,763,000","1,148,089,000","992,825,000","1,087,174,000"
Gross Profit,"215,355,000","232,513,000","209,820,000","141,328,000","328,017,000","147,842,000","201,506,000","215,503,000","105,122,000","77,605,000","246,775,000","38,765,000"
Administrative Expenses,"106,575,000","108,690,000","92,102,000","80,816,000","73,320,000","53,290,000","49,841,000","41,448,000","59,758,000","82,704,000","89,688,000","77,224,000"
Selling & Distributive Expenses,"68,780,000","64,224,000","62,752,000","65,283,000","90,100,000","68,965,000","68,835,000","61,721,000","55,893,000","58,271,000","93,457,000","123,925,000"
Financial Charges,"4,892,000","29,976,000","35,162,000","31,580,000","18,375,000","3,728,000","4,073,000","3,640,000","3,924,000","11,786,000","12,684,000","19,735,000"
Other Income,"42,645,000","35,525,000","49,812,000","45,133,000","25,949,000","31,662,000","23,115,000","21,220,000","112,227,000","185,252,000","29,287,000","4,566,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"12,779,000","11,567,000","18,985,000","22,750,000","21,943,000","7,897,000","14,638,000","18,083,000","17,878,000","27,199,000","11,658,000","5,177,000"
EBITDA,"177,939,000","173,717,000","160,532,000","80,585,000","243,290,000","107,258,000","151,271,000","180,489,000","157,186,000","171,074,000","163,167,000","-80,636,000"
EBIT,"69,866,000","83,557,000","85,793,000","17,612,000","168,603,000","49,352,000","91,307,000","115,471,000","83,820,000","94,683,000","81,259,000","-162,995,000"
EBT,"64,974,000","53,581,000","50,631,000","-13,968,000","150,228,000","45,624,000","87,234,000","111,831,000","79,896,000","82,897,000","68,575,000","-182,730,000"
Tax,"39,117,000","33,985,000","21,598,000","-6,417,000","54,022,000","17,342,000","31,775,000","39,274,000","29,792,000","32,567,000","-3,584,000","-27,309,000"
PAT,"25,857,000","19,596,000","29,033,000","-7,551,000","96,206,000","28,282,000","55,459,000","72,557,000","50,104,000","50,330,000","72,159,000","-155,421,000"
EPS,1.15,0.87,1.29,-0.34,4.26,1.25,2.45,3.2,2.21,2.22,3.19,-8.47
