Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,86.97,86.07,77.46,-607.31,0.00,144.09,114.30,78.01,45.19,0.00,0.00,0.00
Plow Back,13.03,13.93,22.54,707.31,100.00,-44.09,-14.30,21.99,54.81,100.00,100.00,100.00
Return on Equity,3.15,2.54,3.73,-0.96,11.84,7.04,13.05,17.49,12.56,14.43,24.18,-68.69
Return on Assets,1.49,1.12,1.77,-0.47,5.86,3.42,6.99,10.04,7.09,6.84,8.18,-18.04
Book Value per Share,36.44,34.35,34.61,34.78,36.12,17.74,18.77,18.32,17.62,15.40,13.18,9.99
Earning Per Share,1.15,0.87,1.29,-0.34,4.26,1.25,2.45,3.20,2.21,2.22,3.19,-8.47
Net Working Capital to Total Asseets,-0.05,-0.11,-0.11,-0.02,0.09,0.39,0.32,0.30,0.12,0.09,0.18,0.00
Current Ratio,0.84,0.67,0.62,0.91,1.53,3.10,2.74,2.86,1.73,1.50,2.47,1.02
Acid Test,0.69,0.51,0.51,0.80,1.37,3.00,2.13,2.73,1.52,1.29,2.19,0.86
Times Interest Earned,14.28,2.79,2.44,0.56,9.18,13.24,22.42,31.72,21.36,8.03,6.41,-8.26
Total Debt Ratio,0.53,0.56,0.53,0.51,0.50,0.51,0.46,0.43,0.44,0.53,0.66,0.74
Debt To Equity,1.11,1.27,1.11,1.06,1.02,1.06,0.87,0.74,0.77,1.11,1.96,2.81
Return on Capital Employed,0.06,0.07,0.07,0.01,0.12,0.07,0.14,0.19,0.14,0.16,0.10,-0.23
Average Collection Period,2.63,2.20,1.00,2.07,2.68,2.29,3.61,1.23,3.90,1.65,0.79,1.40
Days sales Inventory,9.36,13.27,12.77,8.09,7.97,2.38,15.20,3.00,6.67,9.23,11.01,8.67
Total Assets Turnover,1.88,1.67,1.11,1.25,1.46,2.99,2.96,2.74,2.08,1.67,1.41,1.31
Gross Profit Margin,6.63,7.95,11.49,7.02,13.71,5.99,8.57,10.90,7.14,6.33,19.91,3.44
Net Profit Margin,0.80,0.67,1.59,-0.38,4.02,1.15,2.36,3.67,3.40,4.11,5.82,-13.80
