Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Investments,"1,696,843,795","1,404,190,913","1,327,373,807","1,498,426,580","1,732,983,684","1,095,863,861","1,112,661,320","998,097,022","848,638,589","840,031,282","735,978,003"
Fixed Assets,"129,993,035","72,325,607","65,669,519","71,011,756","54,540,036","48,379,316","47,095,339","43,848,407","48,181,618","43,615,998","42,636,041"
Other Non Current Assets,"169,699,670","143,562,465","72,399,616","2,971,774","11,178,069","4,122,232","3,519,363","2,744,812","2,747,604","4,038,788","582,861"
Cash in Hand and Bank,"267,024,544","440,366,476","361,781,242","408,620,817","173,451,416","245,204,916","105,277,727","90,510,782","97,519,659","87,059,857","75,313,774"
Other Current Assets,"822,660,333","769,298,263","945,552,498","679,652,268","688,205,265","483,152,100","470,375,324","476,908,476","464,897,784","355,721,232","297,325,393"
Total Assets,"3,086,221,377","2,829,743,724","2,772,776,682","2,660,683,195","2,660,358,470","1,876,722,425","1,738,929,073","1,612,109,499","1,461,985,254","1,330,467,157","1,151,836,072"
Under Writing Provisions,"740,797,161","671,231,884","587,099,099","544,950,440","585,964,846","405,202,052","389,857,910","355,729,519","356,212,260","253,508,213","228,418,237"
Creditors and Accruals,"474,814,876","393,666,163","398,118,963","402,857,219","318,220,146","284,435,688","232,032,492","231,843,768","163,950,596","114,854,856","70,946,779"
Other Liabilites,"33,911,413","44,441,382","19,843,581","3,559,189","2,282,987","1,773,806","5,432,670","1,585,876","776,887","470,974","470,974"
Total Liabilities,"1,249,523,450","1,109,339,429","1,005,061,643","951,366,848","906,467,979","691,411,546","627,323,072","589,159,163","520,939,743","368,834,043","299,835,990"
Paid Up Capital,"502,968,030","502,968,030","502,968,030","457,243,660","457,243,660","457,243,660","457,243,660","457,243,660","457,243,660","457,243,660","457,243,660"
Reserves,"1,333,729,897","1,217,436,265","1,264,747,009","1,252,072,687","1,296,646,831","728,067,219","654,362,341","565,706,676","483,801,851","504,389,454","394,756,422"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"1,836,697,927","1,720,404,295","1,767,715,039","1,709,316,347","1,753,890,491","1,185,310,879","1,111,606,001","1,022,950,336","941,045,511","961,633,114","852,000,082"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"50,296,803","50,296,803","50,296,803","45,724,366","45,724,366","45,724,366","45,724,366","45,724,366","45,724,366","45,724,366","45,724,366"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0
