Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"9,290,193,000","9,372,854,000","9,589,717,000","9,722,826,000","10,086,751,000","9,414,408,000","8,340,271,000","8,856,698,000","9,438,844,000","9,384,433,000","9,879,217,000","10,454,347,000","10,855,498,000"
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"237,166,000","351,700,000","415,508,000","226,476,000","217,494,000","120,987,000","68,975,000","77,161,000","204,424,000","129,919,000","264,930,000","406,851,000","16,474,000"
Stores and Spares,"1,762,671,000","1,458,482,000","1,290,040,000","1,364,551,000","1,136,597,000","1,082,473,000","910,456,000","866,735,000","853,755,000","877,475,000","738,727,000","610,337,000","362,055,000"
Stock in Trade,"3,727,784,000","3,484,174,000","2,897,285,000","1,963,091,000","1,731,864,000","1,982,334,000","2,563,413,000","2,015,766,000","1,672,327,000","2,669,500,000","1,868,914,000","1,357,453,000","1,496,478,000"
Trade Debts,"2,907,929,000","3,046,320,000","2,366,324,000","1,585,378,000","1,265,432,000","1,173,624,000","1,006,753,000","1,184,771,000","1,046,176,000","735,847,000","759,663,000","504,129,000","413,171,000"
Current Assets,"9,276,441,000","9,058,422,000","7,690,791,000","5,704,281,000","4,887,897,000","4,681,692,000","4,830,280,000","4,399,660,000","3,994,542,000","4,645,925,000","3,928,645,000","3,076,057,000","2,513,016,000"
Quick Assets,"3,785,986,000","4,115,766,000","3,503,466,000","2,376,639,000","2,019,436,000","1,616,885,000","1,356,411,000","1,517,159,000","1,468,460,000","1,098,950,000","1,321,004,000","1,108,267,000","654,483,000"
Total Assets,"18,596,995,000","18,453,742,000","17,304,195,000","15,437,480,000","14,980,749,000","14,107,628,000","13,178,937,000","13,275,091,000","13,461,973,000","14,068,501,000","14,069,278,000","13,777,143,000","13,402,537,000"
Interest Bearing Long Term Liability,"2,151,120,000","3,511,434,000","282,196,300","2,987,500,000","3,878,066,000","4,149,238,000","3,347,424,000","4,150,682,000","2,845,455,000","4,375,000,000","5,225,000,000","8,895,000,000","7,621,428,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,"1,000,000,000",0,0,0,"18,913,000"
Interest Bearing Short Term Liability,"4,371,415,000","4,918,718,000","4,473,265,000","3,921,966,000","2,934,615,000","2,573,382,000","2,387,445,000","1,687,646,000","2,589,668,000","2,942,912,000","2,728,360,000","1,537,885,000","1,643,545,000"
* Non Interest Bearing Short Term Liability,"2,953,395,000","2,624,589,000","2,255,615,000","1,880,495,000","1,622,268,000","1,287,763,000","1,038,309,000","1,048,514,000","1,068,311,000","1,450,917,000","1,221,361,000","1,465,780,000","833,815,000"
Trades Payables,"2,893,270,000","2,528,063,000","2,215,766,000","1,842,142,000","1,580,938,000","1,245,364,000","972,831,000","999,373,000","927,882,000","1,005,331,000","916,281,000","870,910,000","577,928,000"
Total Current Liabilities,"7,326,171,000","7,544,628,000","6,729,899,000","5,802,461,000","4,556,883,000","3,861,145,000","3,425,754,000","2,736,160,000","3,657,979,000","4,393,829,000","3,949,721,000","3,003,665,000","2,477,360,000"
Total Liabilities,"11,014,721,000","12,264,808,000","10,861,322,000","9,724,455,000","9,130,183,000","8,588,882,000","7,434,247,000","7,436,654,000","7,647,665,000","8,768,829,000","9,174,721,000","11,898,665,000","10,469,915,000"
Paid Up Capital,"1,470,184,000","1,470,184,000","1,470,184,000","1,470,184,000","1,470,184,000","1,470,184,000","1,470,184,000","3,163,084,000","3,710,880,000","3,710,880,000","3,710,880,000","706,834,000","706,834,000"
Reserves,"6,112,090,000","4,718,750,000","4,071,475,000","3,341,627,000","3,479,168,000","3,147,348,000","3,373,292,000","2,675,353,000","2,103,428,000","1,588,792,000","1,183,677,000","1,171,644,000","2,225,788,000"
Preferred Equity,0,0,"901,214,000","901,214,000","901,214,000","901,214,000","901,214,000","2,102,832,000","3,004,046,000","3,004,046,000","3,004,046,000",0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"7,582,274,000","6,188,934,000","6,442,873,000","5,713,025,000","5,850,566,000","5,518,746,000","5,744,690,000","5,838,437,000","5,814,308,000","5,299,672,000","4,894,557,000","1,878,478,000","2,932,622,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"147,018,400","147,018,400","147,018,400","147,018,345","147,018,345","147,018,748","147,018,345","106,025,138","70,683,426","70,683,426","70,683,426","70,683,426","70,683,426"
