Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"24,344,956,000","22,240,624,000","18,964,573,000","15,401,157,000","13,389,130,000","13,186,182,000","14,667,669,000","14,235,621,000","12,923,025,000","11,779,054,000","9,702,311,000","7,152,092,000","4,361,016,000"
COGS,"20,408,583,000","19,578,326,000","16,458,803,000","13,609,628,000","12,121,851,000","12,308,379,000","12,646,230,000","11,689,775,000","10,810,486,000","9,769,526,000","8,267,717,000","7,226,388,000","4,042,689,000"
Gross Profit,"3,936,373,000","2,662,298,000","2,505,770,000","1,791,529,000","1,267,279,000","877,803,000","2,021,439,000","2,545,846,000","2,112,539,000","2,009,528,000","1,434,594,000","-74,296,000","318,327,000"
Administrative Expenses,"537,474,000","474,402,000","425,754,000","375,135,000","379,336,000","359,045,000","351,216,000","307,607,000","274,904,000","227,480,000","194,660,000","148,468,000","120,658,000"
Selling & Distributive Expenses,"171,216,000","153,438,000","129,204,000","115,088,000","113,871,000","113,049,000","139,656,000","113,076,000","108,056,000","105,160,000","79,532,000","58,067,000","40,756,000"
Financial Charges,"987,037,000","762,165,000","460,354,000","406,945,000","355,751,000","575,987,000","615,478,000","692,907,000","910,967,000","963,042,000","1,141,099,000","1,300,208,000","99,693,000"
Other Income,"103,308,000","92,434,000","75,438,000","113,859,000","64,136,000","68,442,000","105,783,000","90,752,000","89,931,000","88,398,000","74,336,000","60,882,000","40,123,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"188,217,000","125,750,000","134,680,000","104,427,000","46,081,000","74,601,000","106,873,000","117,079,000","118,999,000","67,550,000","23,006,000","74,452,000","60,290,000"
EBITDA,"4,231,394,000","2,985,224,000","2,879,909,000","2,222,976,000","1,669,331,000","1,307,021,000","2,440,742,000","3,006,580,000","2,479,156,000","2,452,306,000","1,965,945,000","399,214,000","414,612,000"
EBIT,"3,142,774,000","2,001,142,000","1,891,570,000","1,310,738,000","792,127,000","399,550,000","1,529,477,000","2,098,836,000","1,700,511,000","1,697,736,000","1,211,732,000","-294,401,000","136,746,000"
EBT,"2,155,737,000","1,238,977,000","1,431,216,000","903,793,000","436,376,000","-176,437,000","913,999,000","1,405,929,000","789,544,000","734,694,000","70,633,000","-1,594,609,000","37,053,000"
Tax,"633,965,000","354,823,000","439,357,000","301,577,000","113,985,000","28,961,000","284,150,000","477,763,000","274,908,000","329,579,000","28,317,000","-540,465,000","8,902,000"
PAT,"1,521,772,000","884,154,000","991,859,000","602,216,000","322,391,000","-205,398,000","629,849,000","928,166,000","514,636,000","405,115,000","42,316,000","-1,054,144,000","28,151,000"
EPS,10.35,5.8,6.25,3.66,1.76,-1.89,3.46,6.09,1.4,0.21,-2.99,-14.91,0.4
