Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"17,090,155,000","15,862,647,000","14,388,349,000","9,645,399,000","7,079,368,000","6,565,416,000","6,451,330,000","6,294,376,000","5,457,207,000","4,244,009,000","3,469,111,000","4,567,409,000","3,013,752,000"
COGS,"16,703,668,000","12,979,533,000","11,249,153,000","6,432,281,000","4,445,307,000","4,581,871,000","4,348,680,000","4,107,727,000","4,304,750,000","3,677,159,000","3,379,937,000","3,896,647,000","2,834,336,000"
Gross Profit,"386,487,000","2,883,114,000","3,139,196,000","3,213,118,000","2,634,061,000","1,983,545,000","2,102,650,000","2,186,649,000","1,152,457,000","566,850,000","89,174,000","670,762,000","179,416,000"
Administrative Expenses,"271,750,000","293,925,000","245,258,000","225,109,000","192,278,000","164,310,000","141,444,000","120,603,000","112,999,000","106,843,000","111,220,000","115,816,000","92,923,000"
Selling & Distributive Expenses,"362,003,000","396,338,000","337,132,000","279,998,000","234,241,000","205,796,000","188,395,000","159,623,000","143,982,000","124,701,000","128,620,000","94,767,000","73,898,000"
Financial Charges,"2,526,997,000","1,142,559,000","356,585,000","188,215,000","43,708,000","37,855,000","28,745,000","108,988,000","310,701,000","286,469,000","160,917,000","114,357,000","81,576,000"
Other Income,"70,561,000","106,836,000","81,112,000","133,384,000","43,352,000","201,029,000","76,593,000","14,703,000","20,529,000","17,854,000","16,800,000","7,775,000","19,091,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"19,025,000","109,360,000","133,966,000","143,389,000","155,789,000","105,425,000","132,920,000","230,438,000","33,687,000","11,495,000","2,615,000","96,664,000","6,608,000"
EBITDA,"1,573,713,000","3,583,869,000","3,593,802,000","3,390,906,000","2,375,018,000","1,984,870,000","1,977,558,000","1,942,058,000","1,140,766,000","605,377,000","83,503,000","567,207,000","201,800,000"
EBIT,"-195,730,000","2,190,327,000","2,503,952,000","2,698,006,000","2,095,105,000","1,709,043,000","1,716,484,000","1,690,688,000","882,318,000","341,665,000","-136,481,000","371,290,000","25,078,000"
EBT,"-2,722,727,000","1,047,768,000","2,147,367,000","2,509,791,000","2,051,397,000","1,671,188,000","1,687,739,000","1,581,700,000","571,617,000","55,196,000","-297,398,000","256,933,000","-56,498,000"
Tax,"-829,619,000","-714,995,000","15,248,000","553,229,000","646,205,000","383,024,000","371,571,000","357,486,000","134,791,000","-13,455,000","-283,643,000","97,646,000","-66,852,000"
PAT,"-1,893,108,000","1,762,763,000","2,132,119,000","1,956,562,000","1,405,192,000","1,288,164,000","1,316,168,000","1,224,214,000","436,826,000","68,651,000","-13,755,000","159,287,000","10,354,000"
EPS,-9.74,9.98,12.07,11.08,7.96,8.01,12.52,12.81,4.57,0.72,-0.14,1.67,0.11
